"Ploidy_level","Ploidy_levelunknown","geneticSexID","geneticSexIDunknown","Cos.aspect","Elevation","delta_t","n_S","n_R","prefix_this","minsize","maxsize","n_iterations","n_S_lag_factor","n_S_scale_factor","SWE.mean","PPT.mean","size_mean_initial","size_sd_initial","n_A_initial","n_S_initial","n_R_initial","size_mean_final_average","n_A_final_average","n_S_final_average","n_R_final_average","longevity_90_final_average","basal_area_density_final_average","index"
"diploid","0","male","0",-1,2800,2.5,3.09307482414008e-06,6.92945070926553e-07,"param_sweep_2_4",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,30.28853910226,0.00206922545873628,0.00161388213241191,0.00012788187101223,34,3.4441127631585e-05,2
"diploid","0","male","0",-1,2800,2.5,2.05477604634645e-06,0,"param_sweep_2_5",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,28.3928691669035,0.000931828008234913,0.00109081414839289,6.50169760275505e-05,26,1.0843855158058e-05,2
"diploid","0","male","0",-1,2800,2.5,0.103571739517592,0.0149727262693472,"param_sweep_2_6",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0.226615215447378,0.00555319587655349,17.31072141498,0.485637793382692,0.106118854517572,0.0105937066426619,102,0.0158042306869656,2
"diploid","0","male","0",-1,2800,2.5,0.229380472766012,0.0483455436043457,"param_sweep_2_7",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,5.40053372826823,1.2239284999113,0.218112956556313,0.0449680847992529,51,0.00292892834034564,2
"diploid","0","male","0",-1,2800,2.5,6.96419263219721e-15,8.92121828489536e-16,"param_sweep_2_8",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,35.4214243396297,0.000475134092202932,0.000917546877959411,2.49876636014587e-05,34,8.52052738840624e-06,2
"diploid","0","male","0",-1,2800,2.5,0.0748276284099624,0.00929448602250237,"param_sweep_2_9",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0.138816523617691,0.00323864530190382,15.7066651724421,0.229425717472164,0.0813609631914336,0.00822720047590449,72,0.00609996580207359,2
"diploid","0","male","0",-1,2800,2.5,2.06227542631233e-06,6.47643041090942e-07,"param_sweep_2_10",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,24.2127644704605,0.0114639269360044,0.00418110453299701,0.000523767724761686,45,0.000346027870586911,2
"triploid","0","female","0",-1,2800,2.5,0,0,"param_sweep_3_1",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.6437669499387,1.3336385920543e-25,0,0,25,2.57658893777688e-26,3
"triploid","0","female","0",-1,2800,2.5,0,0,"param_sweep_3_2",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.7508370736926,6.8585387349661e-29,0,0,41,1.3318360620863e-29,3
"triploid","0","female","0",-1,2800,2.5,0,0,"param_sweep_3_3",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.4262479402188,2.06544621148229e-20,0,0,37,3.9487839774753e-21,3
"triploid","0","female","0",-1,2800,2.5,0,0,"param_sweep_3_4",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.3816767044653,5.9100936999491e-21,0,0,21,1.12694509953132e-21,3
"triploid","0","female","0",-1,2800,2.5,0,0,"param_sweep_3_5",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.2552418875791,5.03077352320515e-19,0,0,25,9.52843559400831e-20,3
"triploid","0","female","0",-1,2800,2.5,0,0,"param_sweep_3_6",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.6472490796681,3.52251407247675e-27,0,0,33,6.83522651311721e-28,3
"triploid","0","female","0",-1,2800,2.5,0,0,"param_sweep_3_7",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.5876007270693,1.08882412014597e-23,0,0,38,2.09488888034517e-24,3
"triploid","0","female","0",-1,2800,2.5,0,0,"param_sweep_3_8",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.5549365357405,1.16067053473784e-23,0,0,24,2.23459620042779e-24,3
"triploid","0","female","0",-1,2800,2.5,0,0,"param_sweep_3_9",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.4107651370593,5.43039569452931e-20,0,0,35,1.04072337507065e-20,3
"triploid","0","female","0",-1,2800,2.5,0,0,"param_sweep_3_10",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.6544464119381,7.96426384358848e-25,0,0,31,1.54008336865447e-25,3
"triploid","0","male","0",-1,2800,2.5,0,0,"param_sweep_4_1",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.5862709555594,3.91258655549841e-23,0,0,37,7.53487264039183e-24,4
"triploid","0","male","0",-1,2800,2.5,0,0,"param_sweep_4_2",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.5238966883442,5.77118648931573e-22,0,0,56,1.10831263437142e-22,4
"triploid","0","male","0",-1,2800,2.5,0,0,"param_sweep_4_3",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.2287455086086,4.9016835918309e-17,0,0,37,9.27878607096556e-18,4
"triploid","0","male","0",-1,2800,2.5,0,0,"param_sweep_4_4",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.2875846584698,2.80247774456699e-18,0,0,31,5.31468186262773e-19,4
"triploid","0","male","0",-1,2800,2.5,0,0,"param_sweep_4_5",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,48.9609034241167,1.67202727656811e-15,0,0,25,3.12052013499826e-16,4
"triploid","0","male","0",-1,2800,2.5,0,0,"param_sweep_4_6",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.5347593221559,5.13688372072581e-23,0,0,46,9.90737302483213e-24,4
