"geneticSexID","Ploidy_level","n_medium_trees","Cos.aspect","population_density_m2","size_mean","size_sd","site_code","site_type","year","replicate","lambda","X.UTM","Y.UTM","Watershed","Elevation","Slope","Canopy_openness","Summer.Insolation","Soil.type"
"F","Triploid",0,-0.636077716367705,0.101501876971872,17.1,6.99961767550515,"ABVE","grid",2018,2,0.90973151502819,324613.034874096,4308590.77231573,"Oh-be-Joyful Creek-Slate River",2776.85586725337,24.1109831899576,5,22.6224727630615,"Talus"
"F","Triploid",0,-0.636077716367705,0.101501876971872,17.1,6.99961767550515,"ABVE","grid",2018,3,0.904160555097394,324613.034874096,4308590.77231573,"Oh-be-Joyful Creek-Slate River",2776.85586725337,24.1109831899576,5,22.6224727630615,"Talus"
"F","Triploid",0,-0.636077716367705,0.101501876971872,17.1,6.99961767550515,"ABVE","grid",2018,4,0.853499118183462,324613.034874096,4308590.77231573,"Oh-be-Joyful Creek-Slate River",2776.85586725337,24.1109831899576,5,22.6224727630615,"Talus"
"F","Triploid",0,-0.636077716367705,0.101501876971872,17.1,6.99961767550515,"ABVE","grid",2018,5,0.94449148312132,324613.034874096,4308590.77231573,"Oh-be-Joyful Creek-Slate River",2776.85586725337,24.1109831899576,5,22.6224727630615,"Talus"
"F","Triploid",0,-0.636077716367705,0.101501876971872,17.1,6.99961767550515,"ABVE","grid",2018,6,0.910885592581671,324613.034874096,4308590.77231573,"Oh-be-Joyful Creek-Slate River",2776.85586725337,24.1109831899576,5,22.6224727630615,"Talus"
"F","Triploid",0,-0.636077716367705,0.101501876971872,17.1,6.99961767550515,"ABVE","grid",2018,7,0.890870305972751,324613.034874096,4308590.77231573,"Oh-be-Joyful Creek-Slate River",2776.85586725337,24.1109831899576,5,22.6224727630615,"Talus"
"F","Triploid",0,-0.636077716367705,0.101501876971872,17.1,6.99961767550515,"ABVE","grid",2018,8,0.935171328609953,324613.034874096,4308590.77231573,"Oh-be-Joyful Creek-Slate River",2776.85586725337,24.1109831899576,5,22.6224727630615,"Talus"
"F","Triploid",0,-0.636077716367705,0.101501876971872,17.1,6.99961767550515,"ABVE","grid",2018,9,0.922175065250972,324613.034874096,4308590.77231573,"Oh-be-Joyful Creek-Slate River",2776.85586725337,24.1109831899576,5,22.6224727630615,"Talus"
"F","Triploid",0,-0.636077716367705,0.101501876971872,17.1,6.99961767550515,"ABVE","grid",2018,10,0.811073077791879,324613.034874096,4308590.77231573,"Oh-be-Joyful Creek-Slate River",2776.85586725337,24.1109831899576,5,22.6224727630615,"Talus"
"M","Triploid",0,-0.367124412808791,0.0801990139037013,36.2,6.99961767550515,"ACGNT01","random",2020,1,0.952107178068787,326972.4253226,4316448.5266888,"Middle East River",2990.49961964719,16.9998835555858,3,21.431827545166,"Talus"
