"","Ploidy_leveltriploid","Ploidy_levelunknown","geneticSexIDmale","geneticSexIDunknown","Cos.aspect","Elevation","prefix_this","minsize","maxsize","n_iterations","size_mean_initial","size_sd_initial","n_S_initial","n_A_initial","size_mean_final","n_A_final","n_S_final","longevity_90_final","n_S_lag_factor","n_S_scale_factor","SWE.mean","Tmax.mean","basal_area_density_final","n_A_final_gt_30_cm","cv_n_A_final_ten","index","pixel","replicate_climate_resample","replicate_data_resample","Ploidy_level","geneticSexID"
"40","0","0","0","0",-0.41746661067009,3135.35229492188,"map_2861_1_1",5,70,300,20,5,4.84237524370523,0.1,7.62844496155786,0.190111773910312,5.42476038731214,21,0.2,1,59.4607316631811,20.2576583997488,0.000956299580741561,3.2963731639794e-05,0.617476810588964,14,2861,1,"1","diploid","female"
"41","0","0","0","0",-0.41746661067009,3135.35229492188,"map_2861_1_2",5,70,300,20,5,5.56893293458514,0.1,7.16299699950078,0.739581477494925,1.19669669514158,39,0.2,1,59.4607316631811,20.2576583997488,0.00317977720241342,0.000306530514688192,0.70720281849694,14,2861,1,"2","diploid","female"
"42","0","0","0","0",-0.41746661067009,3135.35229492188,"map_2861_1_3",5,70,300,20,5,4.46226320073666,0.1,6.32069534541912,0.0663793139469487,3.31278679069966,41,0.2,1,59.4607316631811,20.2576583997488,0.000219137874319965,8.65115519489018e-08,0.931754632585553,14,2861,1,"3","diploid","female"
"43","0","0","0","0",-0.660919785499573,3022.91137695312,"map_2964_1_1",5,70,300,20,5,3.09239726748605,0.1,6.64717906828425,0.150761963584921,3.15215496694555,14,0.2,1,47.7372679707418,21.4648797678393,0.000630119135675999,0.00016974913253615,0.49803457965894,15,2964,1,"1","diploid","female"
"44","0","0","0","0",-0.660919785499573,3022.91137695312,"map_2964_1_2",5,70,300,20,5,4.71760066377595,0.1,8.57967181181348,0.239106102980713,3.18454374192367,18,0.2,1,47.7372679707418,21.4648797678393,0.00231855392971056,0.00687276932993424,0.423347772941437,15,2964,1,"2","diploid","female"
"45","0","0","0","0",-0.660919785499573,3022.91137695312,"map_2964_1_3",5,70,300,20,5,3.52614711163811,0.1,5.89639395749641,0.0580055840467577,2.15579675430461,15,0.2,1,47.7372679707418,21.4648797678393,0.000173665970826414,7.01188122521475e-07,1.00497413816958,15,2964,1,"3","diploid","female"
"46","0","0","0","0",-0.531648576259613,3076.76000976562,"map_2965_1_1",5,70,300,20,5,4.52677409977142,0.1,7.38126505333449,0.0524507490632018,3.74863597884567,13,0.2,1,46.5764243772062,20.2902054834207,0.000245864857424093,1.41469042102955e-05,0.665426733990098,16,2965,1,"1","diploid","female"
"47","0","0","0","0",-0.531648576259613,3076.76000976562,"map_2965_1_2",5,70,300,20,5,4.94089472326488,0.1,8.70586088753026,0.103593712244722,3.43636725631392,31,0.2,1,46.5764243772062,20.2902054834207,0.000738322932860306,0.000596303024447329,0.632665950014895,16,2965,1,"2","diploid","female"
"48","0","0","0","0",-0.531648576259613,3076.76000976562,"map_2965_1_3",5,70,300,20,5,4.83381722194288,0.1,6.61520470233856,0.0105396450704918,1.95014677622584,28,0.2,1,46.5764243772062,20.2902054834207,3.94372086436389e-05,2.529997322067e-07,1.0019403032164,16,2965,1,"3","diploid","female"
"49","0","0","0","0",-0.636561393737793,3003.02612304688,"map_3068_1_1",5,70,300,20,5,1.46897339483759,0.1,8.46426030951649,0.155142341087294,3.06900543604149,3,0.2,1,45.8707438721213,21.8356263560974,0.00104248491581398,0.000371702270095468,0.388813638423726,17,3068,1,"1","diploid","female"
"50","0","0","0","0",-0.636561393737793,3003.02612304688,"map_3068_1_2",5,70,300,20,5,3.88470120852889,0.1,9.98734373558889,0.181221312729347,2.87523907347996,3,0.2,1,45.8707438721213,21.8356263560974,0.00175007440324535,0.00156106281098159,0.400632133400334,17,3068,1,"2","diploid","female"
"51","0","0","0","0",-0.636561393737793,3003.02612304688,"map_3068_1_3",5,70,300,20,5,1.8049429338451,0.1,6.23521123055735,0.0914670273457527,2.51743888043581,2,0.2,1,45.8707438721213,21.8356263560974,0.00029961524487001,1.70966713394207e-06,0.767923153814559,17,3068,1,"3","diploid","female"
