"site_code","name","value","year","metric"
"ABVE","PPT.2018",46.9070017039776,2018,"PPT"
"ABVE","PPT.2019",60.6560020744801,2019,"PPT"
"ABVE","PPT.2020",44.0510024130344,2020,"PPT"
"ABVE","PPT.2021",113.185000658035,2021,"PPT"
"ABVE","PPT.2022",82.9989991486073,2022,"PPT"
"ABVE","PPT.2023",28.2569996714592,2023,"PPT"
"ABVE","PPT.2024",83.836998552084,2024,"PPT"
"ABVE","PPT.2025",25.2299999892712,2025,"PPT"
"ABVE","PPT.2026",48.8350006639957,2026,"PPT"
"ACFL","SWE.2010",11.8524589538574,2010,"SWE"
"ACFL","SWE.2011",197.245895385742,2011,"SWE"
"ACFL","SWE.2012",0.786885261535645,2012,"SWE"
"ACFL","SWE.2013",64,2013,"SWE"
"ACFL","SWE.2014",191.524597167969,2014,"SWE"
"ACFL","SWE.2015",303.311462402344,2015,"SWE"
"ACFL","SWE.2016",137.065567016602,2016,"SWE"
"ACFL","SWE.2017",201.508193969727,2017,"SWE"
"ACFL","SWE.2018",42,2018,"SWE"
"ACFL","SWE.2019",405.475402832031,2019,"SWE"
"ACFL","SWE.2020",74.1311492919922,2020,"SWE"
"ACFL","SWE.2021",51.3770484924316,2021,"SWE"
"ACFL","SWE.2022",59.0491790771484,2022,"SWE"
"ACFL","SWE.2023",298.426239013672,2023,"SWE"
"ACFL","SWE.2024",256.721313476562,2024,"SWE"
"ACFL","SWE.2025",47.8524589538574,2025,"SWE"
"ACFL","SWE.2026",19.1475410461426,2026,"SWE"
"ACFL","PPT.2010",88.5385893583298,2010,"PPT"
"ACFL","PPT.2011",80.6148473918438,2011,"PPT"
"ACFL","PPT.2012",99.0253749191761,2012,"PPT"
"ACFL","PPT.2013",126.775970757008,2013,"PPT"
"ACFL","PPT.2014",79.2070755362511,2014,"PPT"
"ACFL","PPT.2015",138.294005870819,2015,"PPT"
"ACFL","PPT.2016",94.7800052464008,2016,"PPT"
"ACFL","PPT.2017",96.5600040853024,2017,"PPT"
"ACFL","PPT.2018",37.3980017900467,2018,"PPT"
"ACFL","PPT.2019",58.3030031919479,2019,"PPT"
"ACFL","PPT.2020",45.6020025014877,2020,"PPT"
"ACFL","PPT.2021",115.144000053406,2021,"PPT"
"ACFL","PPT.2022",83.6130005121231,2022,"PPT"
"ACFL","PPT.2023",25.0530000329018,2023,"PPT"
"ACFL","PPT.2024",96.3650000095367,2024,"PPT"
"ACFL","PPT.2025",28.9820000231266,2025,"PPT"
"ACFL","PPT.2026",55.5560000538826,2026,"PPT"
"ACGNT01","SWE.2010",54.0655746459961,2010,"SWE"
"ACGNT01","SWE.2011",315.639343261719,2011,"SWE"
"ACGNT01","SWE.2012",0.721311509609222,2012,"SWE"
"ACGNT01","SWE.2013",70.9508209228516,2013,"SWE"
"ACGNT01","SWE.2014",178.049179077148,2014,"SWE"
"ACGNT01","SWE.2015",60.0983619689941,2015,"SWE"
"ACGNT01","SWE.2016",49.0491790771484,2016,"SWE"
"ACGNT01","SWE.2017",93.4918060302734,2017,"SWE"
"ACGNT01","SWE.2018",28.967212677002,2018,"SWE"
"ACGNT01","SWE.2019",132.606552124023,2019,"SWE"
"ACGNT01","SWE.2020",18.6885242462158,2020,"SWE"
"ACGNT01","SWE.2021",16.8196716308594,2021,"SWE"
"ACGNT01","SWE.2022",75.9672164916992,2022,"SWE"
"ACGNT01","SWE.2023",211.524597167969,2023,"SWE"
"ACGNT01","SWE.2024",192.163940429688,2024,"SWE"
"ACGNT01","SWE.2025",33.032787322998,2025,"SWE"
"ACGNT01","SWE.2026",3.4590163230896,2026,"SWE"
"ACGNT01","PPT.2010",95.7775573134422,2010,"PPT"
"ACGNT01","PPT.2011",87.7892585992813,2011,"PPT"
"ACGNT01","PPT.2012",99.6022340357304,2012,"PPT"
"ACGNT01","PPT.2013",137.676508069038,2013,"PPT"
"ACGNT01","PPT.2014",89.1279729902744,2014,"PPT"
"ACGNT01","PPT.2015",151.417007893324,2015,"PPT"
"ACGNT01","PPT.2016",94.8040047287941,2016,"PPT"
"ACGNT01","PPT.2017",102.509003788233,2017,"PPT"
"ACGNT01","PPT.2018",34.5210011005402,2018,"PPT"
"ACGNT01","PPT.2019",58.4690030217171,2019,"PPT"
"ACGNT01","PPT.2020",52.0840022861958,2020,"PPT"
"ACGNT01","PPT.2021",118.407998859882,2021,"PPT"
"ACGNT01","PPT.2022",91.1260004341602,2022,"PPT"
"ACGNT01","PPT.2023",25.1969999074936,2023,"PPT"
"ACGNT01","PPT.2024",100.166000902653,2024,"PPT"
"ACGNT01","PPT.2025",32.9479995071888,2025,"PPT"
"ACGNT01","PPT.2026",58.9309996962547,2026,"PPT"
"AEBVG","SWE.2010",58.0163917541504,2010,"SWE"
"AEBVG","SWE.2011",355.163940429688,2011,"SWE"
"AEBVG","SWE.2012",0.213114753365517,2012,"SWE"
"AEBVG","SWE.2013",68.0819702148438,2013,"SWE"
"AEBVG","SWE.2014",15.3114757537842,2014,"SWE"
"AEBVG","SWE.2015",3.04918026924133,2015,"SWE"
"AEBVG","SWE.2016",17.3278694152832,2016,"SWE"
"AEBVG","SWE.2017",96.3442611694336,2017,"SWE"
"AEBVG","SWE.2018",9.81967258453369,2018,"SWE"
"AEBVG","SWE.2019",587.803283691406,2019,"SWE"
"AEBVG","SWE.2020",108.14754486084,2020,"SWE"
"AEBVG","SWE.2021",32.803279876709,2021,"SWE"
"AEBVG","SWE.2022",85.4098358154297,2022,"SWE"
"AEBVG","SWE.2023",213.262298583984,2023,"SWE"
"AEBVG","SWE.2024",92.7213134765625,2024,"SWE"
"AEBVG","SWE.2025",14.7049188613892,2025,"SWE"
"AEBVG","SWE.2026",1.63934421539307,2026,"SWE"
"AEBVG","PPT.2010",83.7649939954281,2010,"PPT"
"AEBVG","PPT.2011",68.39264985919,2011,"PPT"
"AEBVG","PPT.2012",101.165797293186,2012,"PPT"
"AEBVG","PPT.2013",110.407797247171,2013,"PPT"
"AEBVG","PPT.2014",70.3244685530663,2014,"PPT"
"AEBVG","PPT.2015",105.331004858017,2015,"PPT"
"AEBVG","PPT.2016",93.3890036642551,2016,"PPT"
"AEBVG","PPT.2017",99.4510053992271,2017,"PPT"
"AEBVG","PPT.2018",49.4630022346973,2018,"PPT"
"AEBVG","PPT.2019",62.3730035424232,2019,"PPT"
"AEBVG","PPT.2020",45.3240024447441,2020,"PPT"
"AEBVG","PPT.2021",118.308000743389,2021,"PPT"
"AEBVG","PPT.2022",87.7169999480247,2022,"PPT"
"AEBVG","PPT.2023",28.7269997000694,2023,"PPT"
"AEBVG","PPT.2024",85.2849995195866,2024,"PPT"
"AEBVG","PPT.2025",25.6300001144409,2025,"PPT"
"AEBVG","PPT.2026",50.1020005941391,2026,"PPT"
"AFOG","SWE.2010",22.8852462768555,2010,"SWE"
"AFOG","SWE.2011",211.11474609375,2011,"SWE"
"AFOG","SWE.2012",0.508196711540222,2012,"SWE"
"AFOG","SWE.2013",81.6885223388672,2013,"SWE"
"AFOG","SWE.2014",85.9344253540039,2014,"SWE"
"AFOG","SWE.2015",25.4590167999268,2015,"SWE"
"AFOG","SWE.2016",32.6393432617188,2016,"SWE"
"AFOG","SWE.2017",150.655731201172,2017,"SWE"
"AFOG","SWE.2018",11.6065578460693,2018,"SWE"
"AFOG","SWE.2019",483.475402832031,2019,"SWE"
"AFOG","SWE.2020",37.163932800293,2020,"SWE"
"AFOG","SWE.2021",19.2786884307861,2021,"SWE"
"AFOG","SWE.2022",51.0655746459961,2022,"SWE"
"AFOG","SWE.2023",243.983612060547,2023,"SWE"
"AFOG","SWE.2024",154.754104614258,2024,"SWE"
"AFOG","SWE.2025",15.0819673538208,2025,"SWE"
"AFOG","SWE.2026",1.8852459192276,2026,"SWE"
"AFOG","PPT.2010",85.6004442572594,2010,"PPT"
"AFOG","PPT.2011",72.3888225853443,2011,"PPT"
"AFOG","PPT.2012",97.1479671895504,2012,"PPT"
"AFOG","PPT.2013",113.097776919603,2013,"PPT"
"AFOG","PPT.2014",68.6327533721924,2014,"PPT"
"AFOG","PPT.2015",112.74100497365,2015,"PPT"
"AFOG","PPT.2016",95.4450054168701,2016,"PPT"
"AFOG","PPT.2017",97.7090036273003,2017,"PPT"
"AFOG","PPT.2018",43.352001786232,2018,"PPT"
"AFOG","PPT.2019",59.8820032775402,2019,"PPT"
"AFOG","PPT.2020",44.2280021905899,2020,"PPT"
