"","Ploidy_leveltriploid","Ploidy_levelunknown","geneticSexIDmale","geneticSexIDunknown","Cos.aspect","Elevation","delta_years","n_S","n_R","prefix_this","minsize","maxsize","n_iterations","n_S_lag_factor","n_S_scale_factor","SWE.mean","Tmax.mean","size_mean_initial","size_sd_initial","n_A_initial","n_S_initial","n_R_initial","size_mean_final_ten","n_A_final_ten","n_S_final_ten","n_R_final_ten","longevity_90_final_ten","basal_area_density_final_ten","index","pixel","replicate_climate_resample","replicate_data_resample","Ploidy_level","geneticSexID"
"18","0","0","0","0",-0.811225295066833,3083.4375,2.5,1.2587282135432e-19,0,"map_978_2_8",4,60,500,0.2,1,53.9923701406239,22.4643859482573,20,5,0.1,0.12975697798841,0,50.8327997090576,5.04435835141047e-20,2.10430017993745e-19,0,33,1.02384506369849e-20,2,978,2,"8","diploid","female"
"19","0","0","0","0",-0.811225295066833,3083.4375,2.5,1.45476861700021e-19,0,"map_978_2_9",4,60,500,0.2,1,53.9923701406239,22.4643859482573,20,5,0.1,0.138986093362649,0,50.8632875847275,4.74032308095922e-20,2.44844061253196e-19,0,52.0909090909091,9.63253290995062e-21,2,978,2,"9","diploid","female"
"20","0","0","0","0",-0.811225295066833,3083.4375,2.5,0.016461149649483,0.00395898974967859,"map_978_2_10",4,60,500,0.2,1,53.9923701406239,22.4643859482573,20,5,0.1,0.114282278087428,0,16.6489086089965,0.00867811800977759,0.017689789835177,0.000721941153535593,29.3636363636364,0.000285145434048686,2,978,2,"10","diploid","female"
"21","0","0","0","0",-0.811225295066833,3083.4375,2.5,8.07776956265924e-19,0,"map_978_3_1",4,60,500,0.2,1,52.554118698181,22.4843923441823,20,5,0.1,0.115561282875194,0,50.7276044831541,2.667667649204e-19,1.30544378627062e-18,0,29.8181818181818,5.39251869360119e-20,3,978,3,"1","diploid","female"
"22","0","0","0","0",-0.811225295066833,3083.4375,2.5,3.98164592316415e-21,0,"map_978_3_2",4,60,500,0.2,1,52.554118698181,22.4843923441823,20,5,0.1,0.129195139616157,0,50.9107032000852,1.31053856670449e-21,6.63918937316507e-21,0,28.0909090909091,2.66863193379182e-22,3,978,3,"2","diploid","female"
"23","0","0","0","0",-0.811225295066833,3083.4375,2.5,0.0561049284411455,0,"map_978_3_3",4,60,500,0.2,1,52.554118698181,22.4843923441823,20,5,0.1,0.0569020243931442,0.00909689694277232,17.7799715173534,0.040487601333645,0.053926331892717,0.00250353909854427,41.3636363636364,0.00153390728685933,3,978,3,"3","diploid","female"
"24","0","0","0","0",-0.811225295066833,3083.4375,2.5,7.8582198558664e-21,0,"map_978_3_4",4,60,500,0.2,1,52.554118698181,22.4843923441823,20,5,0.1,0.125070727968687,0,50.8278019970314,2.62090829019706e-21,1.28906885258565e-20,0,11.9090909090909,5.31964141041518e-22,3,978,3,"4","diploid","female"
"25","0","0","0","0",-0.811225295066833,3083.4375,2.5,0.0508187659722406,0.00551556868235843,"map_978_3_5",4,60,500,0.2,1,52.554118698181,22.4843923441823,20,5,0.1,0.038956443815949,0.0037087450867543,12.9095217204424,0.0462391610493669,0.0482068702862523,0.0042543213769999,22.4545454545455,0.000990021647781129,3,978,3,"5","diploid","female"
"26","0","0","0","0",-0.811225295066833,3083.4375,2.5,0.0991454450563944,0.00606217295387613,"map_978_3_6",4,60,500,0.2,1,52.554118698181,22.4843923441823,20,5,0.1,0.0873335141323941,0.00706966382916395,15.9117169257698,0.060161739678078,0.0979475924710425,0.00427351738434763,33.7272727272727,0.00184282721766086,3,978,3,"6","diploid","female"
"27","0","0","0","0",-0.811225295066833,3083.4375,2.5,0.0813674935342699,0,"map_978_3_7",4,60,500,0.2,1,52.554118698181,22.4843923441823,20,5,0.1,0.0731861178805222,0.00525869107200987,19.3659033757254,0.0606370439938001,0.0806297507600944,0.00249719002381136,53.0909090909091,0.00270865169920648,3,978,3,"7","diploid","female"
"28","0","0","0","0",-0.811225295066833,3083.4375,2.5,1.29845536513866e-19,0,"map_978_3_8",4,60,500,0.2,1,52.554118698181,22.4843923441823,20,5,0.1,0.0951164821092416,0,50.8271979109694,4.93739604349166e-20,2.08904538378555e-19,0,35.1818181818182,1.00205013623986e-20,3,978,3,"8","diploid","female"
"29","0","0","0","0",-0.811225295066833,3083.4375,2.5,1.48692068199626e-19,0,"map_978_3_9",4,60,500,0.2,1,52.554118698181,22.4843923441823,20,5,0.1,0.105805798680815,0,50.8547993920385,4.5796127490479e-20,2.41404045193133e-19,0,55.2727272727273,9.30522570306956e-21,3,978,3,"9","diploid","female"
"30","0","0","0","0",-0.811225295066833,3083.4375,2.5,0.0144994249074739,0,"map_978_3_10",4,60,500,0.2,1,52.554118698181,22.4843923441823,20,5,0.1,0.0766727749075562,0,18.5339969661413,0.00746029460554797,0.0158719328485222,0.000358893326710291,30.0909090909091,0.000293732722822113,3,978,3,"10","diploid","female"
"31","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,1.20923149549886e-18,0,"map_979_1_1",4,60,500,0.2,1,53.2232329103999,22.4517084944034,20,5,0.1,0.137970508871638,0,50.7134210366983,4.04356765266769e-19,1.98045948475895e-18,0,30,8.16921979299807e-20,4,979,1,"1","diploid","female"
"32","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,3.53349159772697e-21,0,"map_979_1_2",4,60,500,0.2,1,53.2232329103999,22.4517084944034,20,5,0.1,0.152602232423782,0,50.8985503812083,1.17168127775553e-21,5.98441510563055e-21,0,22.7272727272727,2.38439884376339e-22,4,979,1,"2","diploid","female"
