"year","geneticSexID","Ploidy_level","n_medium_trees","Cos.aspect","population_density_m2","size_mean","size_sd","site_code","site_type","lambda","X.UTM","Y.UTM","Watershed","Elevation","Slope","Canopy_openness","Cow_Damage","Summer.Insolation","Soil.type","lambda_binned","dbh_modal"
2018,"M","Triploid",0,-0.367124412808791,0.0753396180316663,33.2571428571429,7.46030766632251,"ACGNT01","random",1.009511988016,326972.4253226,4316448.5266888,"Middle East River",2990.49961964719,16.9998835555858,3,0,21.431827545166,"Talus","stable",50
2018,"M","Triploid",1,-0.799952761691742,0.245609480080086,18.3,4.6979901139861,"AGXLZ","random",0.998245340480926,327346.757674397,4310062.18784653,"Washington Gulch-Slate River",3097.72397142707,26.1009579712373,5,0,23.8570365905762,"Talus","stable",50
2018,"M","Triploid",4,-0.893537142486394,0.127323954473516,20.44,14.2301870058767,"AMYCG","random",0.983286459097938,328003.960811797,4314270.05049237,"Middle East River",2949.49750603777,12.0342134364744,4,0,22.5156784057617,"Soil","decreasing",50
2020,"F","Triploid",0,-0.800165468171791,0.109159768924482,24.8083333333333,8.79973742721218,"AQPIX","random",0.952883839527521,322681.687426321,4311523.73606385,"Oh-be-Joyful Creek-Slate River",3013.05798890024,32.2705772207523,4,0,24.2623386383057,"Soil","decreasing",50
2018,"F","Diploid",1,-0.70240620511473,0.275354572823348,11.44,2.34150948464162,"AQXKL","random",1.00052916752576,322958.120040625,4311126.71725706,"Oh-be-Joyful Creek-Slate River",2951.24985608817,36.9041218827893,5,0,23.9707431793213,"Soil","stable",44.4444444444444
2018,"F","Triploid",2,-0.637311746353685,0.0688386432058371,23.525,8.3170650730033,"AQZOX","random",0.963037426240886,322049.022303677,4303907.96679409,"Coal Creek",3058.3586412744,19.538380036775,2,0,22.4029140472412,"Talus","decreasing",50
2018,"F","Triploid",0,0.1253882219073,0.232512699915114,21.9166666666667,2.48468643226196,"ASIBO","random",0.967163460825219,336219.191991488,4309658.86404716,"Middle East River",3105.95279511018,21.6424852799076,5,0,18.2625980377197,"Soil","decreasing",50
2018,"F","Diploid",5,-0.97198127447618,0.113317866209965,12.99,9.51798881650483,"AWUSD","random",0.997698864029251,320802.806420235,4313762.14708822,"Oh-be-Joyful Creek-Slate River",2944.86911932238,29.2823099053637,3,0,24.9854278564453,"Talus","stable",50
2018,"M","Triploid",0,-0.987428692243841,0.881744837074209,16.05625,6.78651170126661,"AZLSF","random",1.00231188461949,322117.297626967,4303817.10122024,"Coal Creek",3021.92826525028,19.6627092289701,5,0,24.2995471954346,"Soil","stable",0
2018,"M","Triploid",4,0.19270361809552,0.292295579599441,11.9272727272727,8.71367785829737,"BCNTS01","random",1.00770967623963,334288.507825069,4305645.89601601,"Middle East River",2759.94594983928,19.6129290595529,5,1,18.7289505004883,"Soil","stable",0
2018,"M","Triploid",2,0.173338871458378,0.509295817894065,17.21,4.56860056375156,"BCSFE01","random",1.00461755325579,334202.579489076,4304982.34410901,"Middle East River",2805.69885284394,17.7661634874249,5,1,18.4850978851318,"Soil","stable",0
2018,"M","Triploid",0,-0.99996931107816,0.113317866209965,23.8090909090909,2.20202386247495,"BDGAP","random",0.942242642842075,325198.534923004,4308938.99116289,"Oh-be-Joyful Creek-Slate River",2917.82820337454,18.2956549904125,4,0,23.3517112731934,"Soil","decreasing",50
2020,"M","Diploid",4,-0.756921932050607,0.310849498226358,10.96,2.91212026613676,"BFPMS","random",1.00830892026593,327996.961374053,4309688.14052439,"Washington Gulch-Slate River",3203.83665248274,20.6826550506049,2,0,23.185827255249,"Talus","stable",0
2018,"M","Triploid",0,0.473563143420312,0.0979716485638017,15.47,5.4810886996411,"BJSRA01","random",1.01195522454696,323380.331310211,4309178.74203642,"Oh-be-Joyful Creek-Slate River",2766.62983779076,19.2822280841445,3,0,17.0625038146973,"Talus","increasing",0
2018,"F","Diploid",3,0.368448672652026,0.109159768924482,13.17,7.87048636080106,"BJSRB01","random",1.00893084756574,323255.304685255,4309135.2883889,"Oh-be-Joyful Creek-Slate River",2800.15103019093,14.2460057022163,2,0,18.1742172241211,"Talus","stable",49.4949494949495
2020,"F","Triploid",0,0.999315319882566,0.436639075697929,13.5,5.09095057703154,"BJSRC01","random",0.978484687821653,323274.552639293,4308987.33052322,"Oh-be-Joyful Creek-Slate River",2819.34677641356,7.26829001557331,4,0,18.9898891448975,"Talus","decreasing",50
2018,"M","Triploid",2,-0.935455519650152,0.138155332545048,22.2,3.02654919008431,"BRDPJ","random",0.968333364248967,326421.322670874,4312315.21930591,"Washington Gulch-Slate River",3106.24389004336,21.9215667921543,2,1,24.1768970489502,"Talus","decreasing",50
2018,"F","Triploid",0,-0.70538260927859,0.105226408655799,21.2,8.2796135175502,"BUCDS","random",0.956750256658281,327344.917955463,4309938.27762983,"Washington Gulch-Slate River",3063.77332074659,17.4113365117806,4,0,22.4449272155762,"Soil","decreasing",50
2020,"M","Triploid",13,-0.0916515538957123,0.070908863039383,14.3461538461538,6.0858600302416,"BXKLR","random",1.01563585634456,326551.479023703,4311094.84146319,"Washington Gulch-Slate River",3067.73398896275,28.8967474756193,2,0,18.807544708252,"Soil","increasing",0
2018,"F","Diploid",0,-0.938095225938467,0.0360242062227015,12.2666666666667,5.57140970137775,"CAJTV","random",0.99636253705602,323173.96448627,4311315.31530063,"Oh-be-Joyful Creek-Slate River",3047.47690662254,15.5061532111563,3,0,23.2989368438721,"Soil","stable",50
