"replicate","geneticSexIDM","Ploidy_levelTriploid","n_medium_trees","Cos.aspect","Elevation","lambda"
3,"1","0",0,0,2800,1.0000000000002
4,"1","0",0,0,2800,1.00038973788444
5,"1","0",0,0,2800,1
6,"1","0",0,0,2800,1
7,"1","0",0,0,2800,1
8,"1","0",0,0,2800,1
9,"1","0",0,0,2800,NA
10,"1","0",0,0,2800,0.999999999980665
1,"0","1",0,0,2800,0.996558650837994
2,"0","1",0,0,2800,0.996550778912809
3,"0","1",0,0,2800,0.99999999849855
4,"0","1",0,0,2800,0.905133414542073
5,"0","1",0,0,2800,0.975456208974409
6,"0","1",0,0,2800,1.00000003865427
7,"0","1",0,0,2800,0.99453932244088
8,"0","1",0,0,2800,0.974995130895756
9,"0","1",0,0,2800,NA
10,"0","1",0,0,2800,0.999999929819809
1,"1","1",0,0,2800,1.00000000004057
2,"1","1",0,0,2800,1.0030195470429
3,"1","1",0,0,2800,0.99999851894573
4,"1","1",0,0,2800,0.973393531619261
5,"1","1",0,0,2800,1.00003133513434
6,"1","1",0,0,2800,1
7,"1","1",0,0,2800,1.00000020334157
8,"1","1",0,0,2800,1
9,"1","1",0,0,2800,NA
10,"1","1",0,0,2800,1.00000000000794
1,"0","0",5,0,2800,1.00000000337656
2,"0","0",5,0,2800,1.00008912730791
3,"0","0",5,0,2800,1.00026999749598
4,"0","0",5,0,2800,1.00062411644136
5,"0","0",5,0,2800,1.00021730241663
6,"0","0",5,0,2800,1.00019485053373
7,"0","0",5,0,2800,1.00033516078576
8,"0","0",5,0,2800,0.99801862632914
9,"0","0",5,0,2800,0.988590855829263
10,"0","0",5,0,2800,1.00000000000328
1,"1","0",5,0,2800,1.00005279162323
2,"1","0",5,0,2800,0.999999999925202
3,"1","0",5,0,2800,1
4,"1","0",5,0,2800,1
5,"1","0",5,0,2800,1
6,"1","0",5,0,2800,1
7,"1","0",5,0,2800,1
8,"1","0",5,0,2800,1
9,"1","0",5,0,2800,NA
10,"1","0",5,0,2800,0.999999999938674
1,"0","1",5,0,2800,1.00000000006849
2,"0","1",5,0,2800,1.00004956840423
3,"0","1",5,0,2800,1.00000093122875
4,"0","1",5,0,2800,0.999967056572073
5,"0","1",5,0,2800,1.0000502546197
6,"0","1",5,0,2800,1.00009188885518
7,"0","1",5,0,2800,0.994688832187034
8,"0","1",5,0,2800,0.979122179818696
9,"0","1",5,0,2800,NA
10,"0","1",5,0,2800,0.999999999999999
1,"1","1",5,0,2800,0.99999439104703
2,"1","1",5,0,2800,0.999999999999993
3,"1","1",5,0,2800,0.999989757088993
4,"1","1",5,0,2800,1.00000000000026
5,"1","1",5,0,2800,1
6,"1","1",5,0,2800,1.01089519092539
7,"1","1",5,0,2800,1
8,"1","1",5,0,2800,1
9,"1","1",5,0,2800,NA
10,"1","1",5,0,2800,1.00000000003504
1,"0","0",15,0,2800,1.00000000000076
2,"0","0",15,0,2800,1
3,"0","0",15,0,2800,1.0000134055267
4,"0","0",15,0,2800,1
5,"0","0",15,0,2800,1
6,"0","0",15,0,2800,0.99999085660564
7,"0","0",15,0,2800,1.03128170868518
8,"0","0",15,0,2800,0.998574511879084
9,"0","0",15,0,2800,NA
10,"0","0",15,0,2800,1.00000000028359
1,"1","0",15,0,2800,1
2,"1","0",15,0,2800,1
3,"1","0",15,0,2800,1
4,"1","0",15,0,2800,1
5,"1","0",15,0,2800,1
6,"1","0",15,0,2800,1
7,"1","0",15,0,2800,1
8,"1","0",15,0,2800,1
9,"1","0",15,0,2800,0.953640749593271
10,"1","0",15,0,2800,0.999999999811789
1,"0","1",15,0,2800,1.00001308472099
2,"0","1",15,0,2800,1
3,"0","1",15,0,2800,0.999970633023082
4,"0","1",15,0,2800,1
5,"0","1",15,0,2800,1
6,"0","1",15,0,2800,0.934279933565104
7,"0","1",15,0,2800,0.994985136474215
8,"0","1",15,0,2800,0.988593622556047
9,"0","1",15,0,2800,NA
10,"0","1",15,0,2800,0.999999989204484
1,"1","1",15,0,2800,1.00000000000001
2,"1","1",15,0,2800,1
3,"1","1",15,0,2800,1.00007426564363
4,"1","1",15,0,2800,1
5,"1","1",15,0,2800,1
6,"1","1",15,0,2800,0.999151220233108
7,"1","1",15,0,2800,1
8,"1","1",15,0,2800,1
9,"1","1",15,0,2800,NA
10,"1","1",15,0,2800,0.999999999602942
1,"0","0",0,1,2800,1.00000013923314
2,"0","0",0,1,2800,0.999999988602384
3,"0","0",0,1,2800,0.999994829447721
4,"0","0",0,1,2800,0.985376690071633
5,"0","0",0,1,2800,1.00044134452953
6,"0","0",0,1,2800,1.00698686098262
7,"0","0",0,1,2800,1.0000008093134
8,"0","0",0,1,2800,1.00034240105719
9,"0","0",0,1,2800,0.995801901676379
10,"0","0",0,1,2800,0.999999999999967
1,"1","0",0,1,2800,1.00000001311008
2,"1","0",0,1,2800,1.00000000000014
3,"1","0",0,1,2800,0.998591997583795
4,"1","0",0,1,2800,1.00000028339621
5,"1","0",0,1,2800,1
6,"1","0",0,1,2800,1
7,"1","0",0,1,2800,1.00000477683274
8,"1","0",0,1,2800,1
9,"1","0",0,1,2800,NA
10,"1","0",0,1,2800,1.00000000081086
1,"0","1",0,1,2800,0.999999770468888
2,"0","1",0,1,2800,0.999999096274436
3,"0","1",0,1,2800,1.00000391540325
4,"0","1",0,1,2800,0.956492757684626
5,"0","1",0,1,2800,1.00043891356677
6,"0","1",0,1,2800,1.00000440095831
7,"0","1",0,1,2800,0.997396361776877
8,"0","1",0,1,2800,0.9921941543585
9,"0","1",0,1,2800,NA
10,"0","1",0,1,2800,0.99999999998307
1,"1","1",0,1,2800,1.00000034695904
2,"1","1",0,1,2800,1.00000889648068
3,"1","1",0,1,2800,0.999999544721923
4,"1","1",0,1,2800,0.997785486468822
5,"1","1",0,1,2800,0.999999999887633
6,"1","1",0,1,2800,1
7,"1","1",0,1,2800,1.00007394476551
8,"1","1",0,1,2800,1
9,"1","1",0,1,2800,NA
10,"1","1",0,1,2800,0.999999999210731
1,"0","0",5,1,2800,1.00000018098915
2,"0","0",5,1,2800,1.00018405639238
3,"0","0",5,1,2800,0.99999745916835
4,"0","0",5,1,2800,1.00064372103411
5,"0","0",5,1,2800,1.000160627564
6,"0","0",5,1,2800,1.00439835274555
7,"0","0",5,1,2800,1.00000110066172
8,"0","0",5,1,2800,1.00026464388911
9,"0","0",5,1,2800,0.987727911486382
10,"0","0",5,1,2800,0.999999997814771
1,"1","0",5,1,2800,1.00007555171118
2,"1","0",5,1,2800,1
3,"1","0",5,1,2800,0.998606012673041
4,"1","0",5,1,2800,0.998584941705826
5,"1","0",5,1,2800,1
6,"1","0",5,1,2800,1.00000000005117
7,"1","0",5,1,2800,1.00000005661516
8,"1","0",5,1,2800,1
9,"1","0",5,1,2800,0.992600335849639
10,"1","0",5,1,2800,0.999999999169685
1,"0","1",5,1,2800,0.999999857921396
2,"0","1",5,1,2800,0.999967756913981
3,"0","1",5,1,2800,1.00000292998351
4,"0","1",5,1,2800,1.00172066315582
5,"0","1",5,1,2800,1.00017419731592
6,"0","1",5,1,2800,0.999804843312712
7,"0","1",5,1,2800,0.998271362828701
8,"0","1",5,1,2800,0.995436154212226
9,"0","1",5,1,2800,NA
10,"0","1",5,1,2800,1.00000000001149
1,"1","1",5,1,2800,0.99888116889999
2,"1","1",5,1,2800,1
3,"1","1",5,1,2800,0.999999412546544
4,"1","1",5,1,2800,0.998353496839866
5,"1","1",5,1,2800,1
6,"1","1",5,1,2800,1.00000000015965
7,"1","1",5,1,2800,0.999939799825704
8,"1","1",5,1,2800,1
9,"1","1",5,1,2800,NA
10,"1","1",5,1,2800,0.999999998506604
1,"0","0",15,1,2800,0.999331085621445
2,"0","0",15,1,2800,1.00000000000024
3,"0","0",15,1,2800,0.999999587657282
4,"0","0",15,1,2800,0.999998523447352
5,"0","0",15,1,2800,0.999999999999999
6,"0","0",15,1,2800,1.03040514006146
7,"0","0",15,1,2800,1.0000012342348
8,"0","0",15,1,2800,1.00010032326747
9,"0","0",15,1,2800,0.974962262098302
10,"0","0",15,1,2800,0.999999972383695
1,"1","0",15,1,2800,1.00000609093273
2,"1","0",15,1,2800,1
3,"1","0",15,1,2800,0.998614112371303
4,"1","0",15,1,2800,0.998467361630166
5,"1","0",15,1,2800,1
6,"1","0",15,1,2800,1.0043223532814
7,"1","0",15,1,2800,1
8,"1","0",15,1,2800,1
9,"1","0",15,1,2800,0.894793188120875
10,"1","0",15,1,2800,0.999999993907248
1,"0","1",15,1,2800,1.01524613251074
2,"0","1",15,1,2800,1.00000000105399
3,"0","1",15,1,2800,1.00000116166847
4,"0","1",15,1,2800,0.999994286711187
5,"0","1",15,1,2800,1
6,"0","1",15,1,2800,0.885171522064764
7,"0","1",15,1,2800,0.999399079130771
8,"0","1",15,1,2800,0.99962787946992
9,"0","1",15,1,2800,NA
10,"0","1",15,1,2800,0.999999920752535
1,"1","1",15,1,2800,1.00009520365662
2,"1","1",15,1,2800,1
3,"1","1",15,1,2800,0.999998894778392
4,"1","1",15,1,2800,0.998245049389642
5,"1","1",15,1,2800,1
6,"1","1",15,1,2800,0.949030873266722
7,"1","1",15,1,2800,1.00002601492967
8,"1","1",15,1,2800,1
9,"1","1",15,1,2800,0.997140567435673
10,"1","1",15,1,2800,1.00000000282524
1,"0","0",0,-1,3000,0.934659050286601
2,"0","0",0,-1,3000,0.956078665442897
3,"0","0",0,-1,3000,0.933296821292208
4,"0","0",0,-1,3000,0.950074622309076
5,"0","0",0,-1,3000,0.936959313645531
6,"0","0",0,-1,3000,0.973443255003903
7,"0","0",0,-1,3000,0.918380014930303
8,"0","0",0,-1,3000,0.945797760165136
9,"0","0",0,-1,3000,0.991521909377249
10,"0","0",0,-1,3000,0.996077862985199
1,"1","0",0,-1,3000,0.999999993339708
