"replicate","geneticSexIDM","Ploidy_levelTriploid","n_medium_trees","Cos.aspect","Elevation","lambda"
3,"1","0",5,1,3000,0.999999511500009
4,"1","0",5,1,3000,1.00010921947481
5,"1","0",5,1,3000,1.00713597007959
6,"1","0",5,1,3000,1.00564178164085
7,"1","0",5,1,3000,1.00000110341667
8,"1","0",5,1,3000,1
9,"1","0",5,1,3000,0.976090596766451
10,"1","0",5,1,3000,0.999999679890714
1,"0","1",5,1,3000,0.999999917022507
2,"0","1",5,1,3000,1.00000145102825
3,"0","1",5,1,3000,1.00000471335229
4,"0","1",5,1,3000,0.997672226747884
5,"0","1",5,1,3000,0.997263258623906
6,"0","1",5,1,3000,0.95654139868217
7,"0","1",5,1,3000,0.986774080501392
8,"0","1",5,1,3000,0.998354746512768
9,"0","1",5,1,3000,NA
10,"0","1",5,1,3000,1.00000000003882
1,"1","1",5,1,3000,1.00000054453007
2,"1","1",5,1,3000,1.00000849763886
3,"1","1",5,1,3000,1.00000112512427
4,"1","1",5,1,3000,1.00003775587528
5,"1","1",5,1,3000,1.00814771835553
6,"1","1",5,1,3000,1.00000228462054
7,"1","1",5,1,3000,1.00033868544451
8,"1","1",5,1,3000,1
9,"1","1",5,1,3000,NA
10,"1","1",5,1,3000,0.99999999812264
1,"0","0",15,1,3000,1.00000021665712
2,"0","0",15,1,3000,0.998400972775459
3,"0","0",15,1,3000,1.00000232739426
4,"0","0",15,1,3000,1.00000042376232
5,"0","0",15,1,3000,1.00032988532021
6,"0","0",15,1,3000,1.00263880498946
7,"0","0",15,1,3000,1.00122126316861
8,"0","0",15,1,3000,1
9,"0","0",15,1,3000,0.967115656900035
10,"0","0",15,1,3000,1.00000047916892
1,"1","0",15,1,3000,1.000000270737
2,"1","0",15,1,3000,1.00002971487409
3,"1","0",15,1,3000,0.999996113759048
4,"1","0",15,1,3000,0.999999040151003
5,"1","0",15,1,3000,1.01121010110564
6,"1","0",15,1,3000,1.00430741192416
7,"1","0",15,1,3000,1.00000211718237
8,"1","0",15,1,3000,1
9,"1","0",15,1,3000,0.906432947841129
10,"1","0",15,1,3000,0.999999945414419
1,"0","1",15,1,3000,1.00013956274631
2,"0","1",15,1,3000,0.99793714997778
3,"0","1",15,1,3000,1.00000405607369
4,"0","1",15,1,3000,0.999998232747708
5,"0","1",15,1,3000,1.00009765644142
6,"0","1",15,1,3000,0.858616331502991
7,"0","1",15,1,3000,0.999982912603732
8,"0","1",15,1,3000,0.999150422839472
9,"0","1",15,1,3000,NA
10,"0","1",15,1,3000,1.00000004148172
1,"1","1",15,1,3000,1.00220081028042
2,"1","1",15,1,3000,1.00000000000079
3,"1","1",15,1,3000,1.00000265025613
4,"1","1",15,1,3000,0.999998391001964
5,"1","1",15,1,3000,0.999999999999699
6,"1","1",15,1,3000,0.937580276679186
7,"1","1",15,1,3000,1.0024165537361
8,"1","1",15,1,3000,1
9,"1","1",15,1,3000,0.945635876314091
10,"1","1",15,1,3000,0.999999999231551
1,"0","0",0,-1,3200,0.933290967518799
2,"0","0",0,-1,3200,0.961700693585581
3,"0","0",0,-1,3200,0.92522911666044
4,"0","0",0,-1,3200,0.965488009534878
5,"0","0",0,-1,3200,0.894531544418947
6,"0","0",0,-1,3200,0.939899104033176
7,"0","0",0,-1,3200,0.892606156136323
8,"0","0",0,-1,3200,0.985518992240819
9,"0","0",0,-1,3200,0.970113009456986
10,"0","0",0,-1,3200,0.991552736459389
1,"1","0",0,-1,3200,0.977446006531603
2,"1","0",0,-1,3200,1.00018645344642
3,"1","0",0,-1,3200,0.849860666216328
4,"1","0",0,-1,3200,1.00532965033082
5,"1","0",0,-1,3200,1.00195672326812
6,"1","0",0,-1,3200,1.00531559775827
7,"1","0",0,-1,3200,0.925447001311342
8,"1","0",0,-1,3200,1
9,"1","0",0,-1,3200,0.988922764811784
10,"1","0",0,-1,3200,1.00390247393468
1,"0","1",0,-1,3200,0.904551568484655
2,"0","1",0,-1,3200,0.919567719658194
3,"0","1",0,-1,3200,0.815764219865939
4,"0","1",0,-1,3200,0.877425083088476
5,"0","1",0,-1,3200,0.788001729150211
6,"0","1",0,-1,3200,0.823978843944836
7,"0","1",0,-1,3200,0.770012864234743
8,"0","1",0,-1,3200,0.919521140686091
9,"0","1",0,-1,3200,0.987186651942641
10,"0","1",0,-1,3200,0.951698201010191
1,"1","1",0,-1,3200,0.924731338108287
2,"1","1",0,-1,3200,0.99731606574625
3,"1","1",0,-1,3200,0.827135633326191
4,"1","1",0,-1,3200,0.929646024957459
5,"1","1",0,-1,3200,0.685372464787476
6,"1","1",0,-1,3200,0.923837027721078
7,"1","1",0,-1,3200,0.854092834663141
8,"1","1",0,-1,3200,0.966782969597698
9,"1","1",0,-1,3200,NA
10,"1","1",0,-1,3200,1
1,"0","0",5,-1,3200,0.945955850941954
2,"0","0",5,-1,3200,0.966522318853206
3,"0","0",5,-1,3200,0.92910809017155
4,"0","0",5,-1,3200,0.975902606032406
5,"0","0",5,-1,3200,0.898224976628862
6,"0","0",5,-1,3200,0.956684704318055
7,"0","0",5,-1,3200,0.912594035409173
8,"0","0",5,-1,3200,1.00021811680127
9,"0","0",5,-1,3200,0.981348356662385
10,"0","0",5,-1,3200,0.996395369408918
1,"1","0",5,-1,3200,0.97283270670523
2,"1","0",5,-1,3200,0.98710877557036
3,"1","0",5,-1,3200,0.847068336951001
4,"1","0",5,-1,3200,1.00423357344808
5,"1","0",5,-1,3200,1.00194487831762
6,"1","0",5,-1,3200,1.00036335001247
7,"1","0",5,-1,3200,1.00196042714122
8,"1","0",5,-1,3200,1
9,"1","0",5,-1,3200,0.977768200469034
10,"1","0",5,-1,3200,1.00350932236926
1,"0","1",5,-1,3200,0.922857854182827
2,"0","1",5,-1,3200,0.955075097773882
3,"0","1",5,-1,3200,0.831037480331218
4,"0","1",5,-1,3200,0.902219337923594
5,"0","1",5,-1,3200,0.798081811748796
6,"0","1",5,-1,3200,0.840909450560847
7,"0","1",5,-1,3200,0.794816342586637
8,"0","1",5,-1,3200,0.958137492567811
9,"0","1",5,-1,3200,NA
10,"0","1",5,-1,3200,0.977824074484123
1,"1","1",5,-1,3200,0.947088571898512
2,"1","1",5,-1,3200,0.98804557358914
3,"1","1",5,-1,3200,0.824586472372492
4,"1","1",5,-1,3200,0.98693574304692
5,"1","1",5,-1,3200,0.701324074057935
6,"1","1",5,-1,3200,0.955343414948148
7,"1","1",5,-1,3200,0.936609072197808
8,"1","1",5,-1,3200,1
9,"1","1",5,-1,3200,NA
10,"1","1",5,-1,3200,0.99999999999999
1,"0","0",15,-1,3200,0.976143607628577
2,"0","0",15,-1,3200,0.977815495809607
3,"0","0",15,-1,3200,0.940170298082461
4,"0","0",15,-1,3200,1.00023159058345
5,"0","0",15,-1,3200,0.907872096712972
6,"0","0",15,-1,3200,1.00009348659437
7,"0","0",15,-1,3200,1.00001414895134
8,"0","0",15,-1,3200,1
9,"0","0",15,-1,3200,NA
10,"0","0",15,-1,3200,0.999794567112928
1,"1","0",15,-1,3200,0.965297296217475
2,"1","0",15,-1,3200,0.952462136691225
3,"1","0",15,-1,3200,0.841709997571143
4,"1","0",15,-1,3200,1.00322890486911
5,"1","0",15,-1,3200,1.00192374332631
6,"1","0",15,-1,3200,1
7,"1","0",15,-1,3200,1
8,"1","0",15,-1,3200,1
9,"1","0",15,-1,3200,0.960996581694677
10,"1","0",15,-1,3200,1.0032766666621
1,"0","1",15,-1,3200,0.999999997362515
2,"0","1",15,-1,3200,0.999999999712096
3,"0","1",15,-1,3200,0.870540456684453
4,"0","1",15,-1,3200,1.00000000000397
5,"0","1",15,-1,3200,0.825775216493074
6,"0","1",15,-1,3200,0.882351556803831
7,"0","1",15,-1,3200,0.903867517545126
8,"0","1",15,-1,3200,0.999285338492871
9,"0","1",15,-1,3200,NA
10,"0","1",15,-1,3200,0.999999992001351
1,"1","1",15,-1,3200,0.999999876614486
2,"1","1",15,-1,3200,0.966338727978072
3,"1","1",15,-1,3200,0.819600322832354
4,"1","1",15,-1,3200,1
5,"1","1",15,-1,3200,0.744640486382033
6,"1","1",15,-1,3200,1.00001272498847
7,"1","1",15,-1,3200,1
8,"1","1",15,-1,3200,1
9,"1","1",15,-1,3200,NA
10,"1","1",15,-1,3200,1.00000000000026
1,"0","0",0,0,3200,0.978801698126953
2,"0","0",0,0,3200,0.995664433389664
3,"0","0",0,0,3200,0.970224175939562
4,"0","0",0,0,3200,0.9678044949461
5,"0","0",0,0,3200,0.918942603511539
6,"0","0",0,0,3200,0.970407042613143
7,"0","0",0,0,3200,0.966969806240309
8,"0","0",0,0,3200,0.993415211184264
9,"0","0",0,0,3200,0.983811861955935
10,"0","0",0,0,3200,0.999973889126828
1,"1","0",0,0,3200,0.999999610130548
2,"1","0",0,0,3200,1.00005782270153
3,"1","0",0,0,3200,0.999578177324687
4,"1","0",0,0,3200,1.00000014949183
5,"1","0",0,0,3200,1.00367401841814
6,"1","0",0,0,3200,1.00405544406822
7,"1","0",0,0,3200,0.998409302974799
8,"1","0",0,0,3200,1
9,"1","0",0,0,3200,NA
10,"1","0",0,0,3200,1.00319866565145
1,"0","1",0,0,3200,0.955409242267107
2,"0","1",0,0,3200,0.986713806415615
3,"0","1",0,0,3200,0.958228522766412
4,"0","1",0,0,3200,0.932825857484066
5,"0","1",0,0,3200,0.905554174709417
6,"0","1",0,0,3200,0.869844227917484
7,"0","1",0,0,3200,0.934330370162508
8,"0","1",0,0,3200,0.971588071609459
9,"0","1",0,0,3200,NA
10,"0","1",0,0,3200,0.999561507089863
1,"1","1",0,0,3200,0.998865599086944
2,"1","1",0,0,3200,1.00064864138114
3,"1","1",0,0,3200,0.990434576929947
4,"1","1",0,0,3200,0.988101521580445
5,"1","1",0,0,3200,1.0026695400249
6,"1","1",0,0,3200,0.97230023667585
7,"1","1",0,0,3200,0.97052480452876
8,"1","1",0,0,3200,1.00000000046794
9,"1","1",0,0,3200,NA
10,"1","1",0,0,3200,1.00000000260088
1,"0","0",5,0,3200,0.988736382327238
2,"0","0",5,0,3200,0.9993065760966
3,"0","0",5,0,3200,0.973249258380012
4,"0","0",5,0,3200,0.987087322221441
5,"0","0",5,0,3200,0.927795449279642
6,"0","0",5,0,3200,0.976676514659214
7,"0","0",5,0,3200,0.992040235900588
8,"0","0",5,0,3200,1.00001446227079
9,"0","0",5,0,3200,0.980708055066725
10,"0","0",5,0,3200,0.999997220647288
1,"1","0",5,0,3200,0.999971065646105
2,"1","0",5,0,3200,1.00038510527872
3,"1","0",5,0,3200,0.987729621452058
4,"1","0",5,0,3200,1.00000001314466
5,"1","0",5,0,3200,1.00328866538074
6,"1","0",5,0,3200,1.00399336125755
7,"1","0",5,0,3200,1.00016073357754
8,"1","0",5,0,3200,1
9,"1","0",5,0,3200,0.982721096222239
10,"1","0",5,0,3200,1.00364112776534
1,"0","1",5,0,3200,0.983358712966019
2,"0","1",5,0,3200,0.999978210194953
3,"0","1",5,0,3200,0.961836287624576
4,"0","1",5,0,3200,0.970862571923431
5,"0","1",5,0,3200,0.914918260451186
6,"0","1",5,0,3200,0.855763697675774
7,"0","1",5,0,3200,0.953520419633122
8,"0","1",5,0,3200,0.995953628916874
9,"0","1",5,0,3200,NA
10,"0","1",5,0,3200,0.999994634326045
1,"1","1",5,0,3200,0.999977913876271
2,"1","1",5,0,3200,1.00189474725965
3,"1","1",5,0,3200,0.972303802020674
4,"1","1",5,0,3200,1.00000251763298
5,"1","1",5,0,3200,1.00357020989018
6,"1","1",5,0,3200,0.967404017158943
7,"1","1",5,0,3200,1.00065007603383
8,"1","1",5,0,3200,1
9,"1","1",5,0,3200,NA
10,"1","1",5,0,3200,1.00000000059928
1,"0","0",15,0,3200,0.999881734532629
2,"0","0",15,0,3200,1.00000001840776
3,"0","0",15,0,3200,0.979883388758564
4,"0","0",15,0,3200,1.00001222202785
5,"0","0",15,0,3200,0.942910211739955
6,"0","0",15,0,3200,0.992021218419051
7,"0","0",15,0,3200,1.00000185374989
8,"0","0",15,0,3200,1
9,"0","0",15,0,3200,0.974868410487798
10,"0","0",15,0,3200,0.999999990746663
1,"1","0",15,0,3200,0.995910418469421
2,"1","0",15,0,3200,0.991465320371189
3,"1","0",15,0,3200,0.968070867767811
4,"1","0",15,0,3200,0.999999989395207
5,"1","0",15,0,3200,1.00273219130806
6,"1","0",15,0,3200,1.00000006967911
7,"1","0",15,0,3200,1
8,"1","0",15,0,3200,1
9,"1","0",15,0,3200,0.943547344545937
10,"1","0",15,0,3200,1.00508244882654
1,"0","1",15,0,3200,1.00000003908951
2,"0","1",15,0,3200,0.997668303494622
3,"0","1",15,0,3200,0.969787041011887
4,"0","1",15,0,3200,0.999999327233893
5,"0","1",15,0,3200,0.945350527310732
6,"0","1",15,0,3200,0.830908563702562
7,"0","1",15,0,3200,0.999997103462673
8,"0","1",15,0,3200,0.998853919942455
9,"0","1",15,0,3200,NA
10,"0","1",15,0,3200,0.999999998848136
1,"1","1",15,0,3200,0.999999994228665
2,"1","1",15,0,3200,1.00247199165421
3,"1","1",15,0,3200,0.949017951115317
4,"1","1",15,0,3200,0.998697780433014
5,"1","1",15,0,3200,1.00872587198132
6,"1","1",15,0,3200,0.958079745949085
7,"1","1",15,0,3200,0.998566626732608
8,"1","1",15,0,3200,1
9,"1","1",15,0,3200,0.978591999046794
10,"1","1",15,0,3200,1
1,"0","0",0,1,3200,0.985003526245711
2,"0","0",0,1,3200,0.999945801449617
3,"0","0",0,1,3200,0.999395818527552
4,"0","0",0,1,3200,0.952285694730041
5,"0","0",0,1,3200,0.926350319122866
6,"0","0",0,1,3200,1.00241761643593
7,"0","0",0,1,3200,0.962710814164818
8,"0","0",0,1,3200,0.993218824606502
9,"0","0",0,1,3200,0.990425311794923
10,"0","0",0,1,3200,1.00000000469698
1,"1","0",0,1,3200,0.99999999993263
2,"1","0",0,1,3200,0.999905503624898
3,"1","0",0,1,3200,1.00000088085975
4,"1","0",0,1,3200,0.999975682025076
5,"1","0",0,1,3200,0.97726767676349
6,"1","0",0,1,3200,1.00420268993334
7,"1","0",0,1,3200,0.998023038037323
8,"1","0",0,1,3200,1
9,"1","0",0,1,3200,NA
10,"1","0",0,1,3200,1.00287385078347
1,"0","1",0,1,3200,0.961368222338816
2,"0","1",0,1,3200,0.999059801505274
3,"0","1",0,1,3200,0.996851873296777
4,"0","1",0,1,3200,0.92359605098525
5,"0","1",0,1,3200,0.927069975320034
6,"0","1",0,1,3200,0.926050049449747
7,"0","1",0,1,3200,0.948263837427492
8,"0","1",0,1,3200,0.97676376312738
9,"0","1",0,1,3200,NA
10,"0","1",0,1,3200,0.999999939877609
1,"1","1",0,1,3200,0.999967544260336
2,"1","1",0,1,3200,1.00002227786149
3,"1","1",0,1,3200,1.00000230874453
4,"1","1",0,1,3200,0.978392716974636
5,"1","1",0,1,3200,0.992404886811548
6,"1","1",0,1,3200,1.00001661063796
7,"1","1",0,1,3200,0.980535766558986
8,"1","1",0,1,3200,1.00000000000115
9,"1","1",0,1,3200,NA
10,"1","1",0,1,3200,0.999999947179868
1,"0","0",5,1,3200,0.991067760529138
2,"0","0",5,1,3200,1.00000037544657
3,"0","0",5,1,3200,0.994169829045704
4,"0","0",5,1,3200,0.97758638768835
5,"0","0",5,1,3200,0.932841862924282
6,"0","0",5,1,3200,1.00233872034272
7,"0","0",5,1,3200,0.992104868566879
8,"0","0",5,1,3200,1.00000217691939
9,"0","0",5,1,3200,0.970844093370687
10,"0","0",5,1,3200,1.00000001189007
1,"1","0",5,1,3200,1.00000037291194
2,"1","0",5,1,3200,0.999997873746533
3,"1","0",5,1,3200,1.00000090459253
4,"1","0",5,1,3200,1.00001171539588
5,"1","0",5,1,3200,0.975930378041812
6,"1","0",5,1,3200,1.00427907822232
7,"1","0",5,1,3200,1.00000233874202
8,"1","0",5,1,3200,1
9,"1","0",5,1,3200,0.976723369243518
10,"1","0",5,1,3200,1.00319857582773
1,"0","1",5,1,3200,0.987236008788074
2,"0","1",5,1,3200,1.00000037289525
3,"0","1",5,1,3200,0.990357960784591
4,"0","1",5,1,3200,0.966686941336773
5,"0","1",5,1,3200,0.940251435982626
6,"0","1",5,1,3200,0.875960366482622
7,"0","1",5,1,3200,0.970055811251851
8,"0","1",5,1,3200,0.999076080972954
9,"0","1",5,1,3200,NA
10,"0","1",5,1,3200,1.00000001885121
1,"1","1",5,1,3200,0.999997932988765
2,"1","1",5,1,3200,1.0000235619367
3,"1","1",5,1,3200,1.00000756921541
4,"1","1",5,1,3200,1.00004758495237
5,"1","1",5,1,3200,1.00129884221802
6,"1","1",5,1,3200,0.976638826394338
7,"1","1",5,1,3200,1.00043474924693
8,"1","1",5,1,3200,1
9,"1","1",5,1,3200,NA
10,"1","1",5,1,3200,0.999999965750046
1,"0","0",15,1,3200,0.99910652160302
2,"0","0",15,1,3200,0.999998895373536
3,"0","0",15,1,3200,0.981251421442527
4,"0","0",15,1,3200,1.00001119848924
5,"0","0",15,1,3200,0.949536006464277
6,"0","0",15,1,3200,1.00227420830971
7,"0","0",15,1,3200,1.00000273203063
8,"0","0",15,1,3200,1
9,"0","0",15,1,3200,0.939922084590964
10,"0","0",15,1,3200,0.99999987758774
1,"1","0",15,1,3200,0.993877924752958
2,"1","0",15,1,3200,0.999901361423737
3,"1","0",15,1,3200,0.980319864336582
4,"1","0",15,1,3200,0.999988962587425
5,"1","0",15,1,3200,0.973862579063765
6,"1","0",15,1,3200,1.00443346922135
7,"1","0",15,1,3200,1.00175211284339
8,"1","0",15,1,3200,1
9,"1","0",15,1,3200,0.917678888251243
10,"1","0",15,1,3200,1.00329987830806
1,"0","1",15,1,3200,1.00000036569331
2,"0","1",15,1,3200,1.00000089632633
3,"0","1",15,1,3200,0.977861955227126
4,"0","1",15,1,3200,1.00000007634895
5,"0","1",15,1,3200,0.967773349443063
6,"0","1",15,1,3200,0.806015788025104
7,"0","1",15,1,3200,1.00000456677311
8,"0","1",15,1,3200,1.00026798430336
9,"0","1",15,1,3200,0.983303510328787
10,"0","1",15,1,3200,1.00000015060922
1,"1","1",15,1,3200,1.00000007778755
2,"1","1",15,1,3200,1.00002542830753
3,"1","1",15,1,3200,0.977433519240513
4,"1","1",15,1,3200,1.00000036349306
5,"1","1",15,1,3200,1.00713192540506
6,"1","1",15,1,3200,0.915059618530945
7,"1","1",15,1,3200,0.999998913444728
8,"1","1",15,1,3200,1
9,"1","1",15,1,3200,0.943121049718038
10,"1","1",15,1,3200,1.00000000005386
