"Ploidy_leveltriploid","Ploidy_levelunknown","geneticSexIDmale","geneticSexIDunknown","Cos.aspect","Elevation","prefix_this","minsize","maxsize","n_iterations","size_mean_initial","size_sd_initial","n_S_initial","n_T_initial","size_mean_final","n_T_final","n_S_final","longevity_90_final","n_S_lag_factor","SWE.mean","STB.mean","basal_area_density","n_T_final_gt_30_cm","cv_final_ten","index","site_code","replicate_climate_resample","replicate_data_resample","Latitude","Longitude","X.UTM","Y.UTM","Ploidy_level","geneticSexID"
"1","0","1","0",-0.367124412808791,2990.49961964719,"rmbl_dry_scenario_ACGNT01_1_1",5,60,200,36.2,6.9846423010877,4.10287304397869,0.0801990139037013,6.94374477999281,0.269155448511195,3.35593812573549,111,0.2,37.2649460835243,-1.64293034694978,0.00114059038190079,0.000131302191891394,0.11912338078171,1,"ACGNT01","1","1",38.9799423,-106.99755,326972.4253226,4316448.5266888,"triploid","male"
"1","0","1","0",-0.367124412808791,2990.49961964719,"rmbl_dry_scenario_ACGNT01_1_2",5,60,200,36.2,6.9846423010877,7.57460648982137,0.0801990139037013,5.84958041984067,0.396793799496034,9.34820963118461,112,0.2,37.2649460835243,-1.64293034694978,0.00119804864080314,0.000437385231230574,0.131064320582207,1,"ACGNT01","1","2",38.9799423,-106.99755,326972.4253226,4316448.5266888,"triploid","male"
"1","0","1","0",-0.367124412808791,2990.49961964719,"rmbl_dry_scenario_ACGNT01_1_3",5,60,200,36.2,6.9846423010877,6.66327152907171,0.0801990139037013,7.23105215787609,0.126410792413257,6.35498967820898,107,0.2,37.2649460835243,-1.64293034694978,0.000676962407696283,0.000545730767000565,0.352254698748914,1,"ACGNT01","1","3",38.9799423,-106.99755,326972.4253226,4316448.5266888,"triploid","male"
"1","0","1","0",-0.367124412808791,2990.49961964719,"rmbl_dry_scenario_ACGNT01_1_4",5,60,200,36.2,6.9846423010877,4.34462394072205,0.0801990139037013,20.2474841608948,0.561676654218284,1.39683457862198,171,0.2,37.2649460835243,-1.64293034694978,0.0275232982202481,0.140408702761069,0.0557599620439603,1,"ACGNT01","1","4",38.9799423,-106.99755,326972.4253226,4316448.5266888,"triploid","male"
"1","0","1","0",-0.367124412808791,2990.49961964719,"rmbl_dry_scenario_ACGNT01_1_5",5,60,200,36.2,6.9846423010877,5.08232313703375,0.0801990139037013,6.5925633139729,0.236965836222351,5.49395447362192,96,0.2,37.2649460835243,-1.64293034694978,0.000869727654588456,1.14998130567216e-05,0.948231628849873,1,"ACGNT01","1","5",38.9799423,-106.99755,326972.4253226,4316448.5266888,"triploid","male"
"1","0","1","0",-0.367124412808791,2990.49961964719,"rmbl_dry_scenario_ACGNT01_1_6",5,60,200,36.2,6.9846423010877,2.47327968303004,0.0801990139037013,5.54710075231649,0.225831691685952,2.03850214353299,122,0.2,37.2649460835243,-1.64293034694978,0.000571403669579117,3.56732421969329e-06,0.305241260522301,1,"ACGNT01","1","6",38.9799423,-106.99755,326972.4253226,4316448.5266888,"triploid","male"
"1","0","1","0",-0.367124412808791,2990.49961964719,"rmbl_dry_scenario_ACGNT01_1_7",5,60,200,36.2,6.9846423010877,10.5550835280206,0.0801990139037013,5.61310915215075,0.1448321648028,8.39411630226837,75,0.2,37.2649460835243,-1.64293034694978,0.000366463609269695,6.9405800455862e-07,0.472719076124005,1,"ACGNT01","1","7",38.9799423,-106.99755,326972.4253226,4316448.5266888,"triploid","male"
"1","0","1","0",-0.367124412808791,2990.49961964719,"rmbl_dry_scenario_ACGNT01_1_8",5,60,200,36.2,6.9846423010877,0,0.0801990139037013,8.38121651783238,0.00414301269665462,0.258132471603732,95,0.2,37.2649460835243,-1.64293034694978,2.41057696253356e-05,4.73264223645853e-07,0.689887278829218,1,"ACGNT01","1","8",38.9799423,-106.99755,326972.4253226,4316448.5266888,"triploid","male"
"1","0","1","0",-0.367124412808791,2990.49961964719,"rmbl_dry_scenario_ACGNT01_1_9",5,60,200,36.2,6.9846423010877,12.0748085420978,0.0801990139037013,10.7617602214982,0.214410834664441,5.89077196086089,141,0.2,37.2649460835243,-1.64293034694978,0.00306596348512973,0.00872610841605109,0.187710007102748,1,"ACGNT01","1","9",38.9799423,-106.99755,326972.4253226,4316448.5266888,"triploid","male"
"1","0","1","0",-0.367124412808791,2990.49961964719,"rmbl_dry_scenario_ACGNT01_1_10",5,60,200,36.2,6.9846423010877,2.3672699217437,0.0801990139037013,5.34052717116888,0.123674393236266,2.51323098050496,122,0.2,37.2649460835243,-1.64293034694978,0.0002869039150035,1.40090080855591e-08,0.425511809568447,1,"ACGNT01","1","10",38.9799423,-106.99755,326972.4253226,4316448.5266888,"triploid","male"
"1","0","1","0",-0.367124412808791,2990.49961964719,"rmbl_dry_scenario_ACGNT01_2_1",5,60,200,36.2,6.9846423010877,1.60689480889031,0.0801990139037013,6.82258588972862,0.302049449138088,2.94362171044502,116,0.2,38.1067207298469,-1.54039552276259,0.00127046884506084,0.000280347035474547,0.150332787677637,2,"ACGNT01","2","1",38.9799423,-106.99755,326972.4253226,4316448.5266888,"triploid","male"
"1","0","1","0",-0.367124412808791,2990.49961964719,"rmbl_dry_scenario_ACGNT01_2_2",5,60,200,36.2,6.9846423010877,16.34958475653,0.0801990139037013,6.76910073604808,0.365255388760323,7.96954711719803,109,0.2,38.1067207298469,-1.54039552276259,0.00187896118689739,0.00284471973572013,0.118440929129475,2,"ACGNT01","2","2",38.9799423,-106.99755,326972.4253226,4316448.5266888,"triploid","male"
"1","0","1","0",-0.367124412808791,2990.49961964719,"rmbl_dry_scenario_ACGNT01_2_3",5,60,200,36.2,6.9846423010877,3.67507214668103,0.0801990139037013,8.31656641960972,0.148555272228838,6.65498346720662,109,0.2,38.1067207298469,-1.54039552276259,0.00111825282974858,0.00119331166917406,0.390605924209392,2,"ACGNT01","2","3",38.9799423,-106.99755,326972.4253226,4316448.5266888,"triploid","male"
"1","0","1","0",-0.367124412808791,2990.49961964719,"rmbl_dry_scenario_ACGNT01_2_4",5,60,200,36.2,6.9846423010877,3.82429361401331,0.0801990139037013,19.9268204839475,0.49975422105416,1.47899037638036,160,0.2,38.1067207298469,-1.54039552276259,0.0244080876611055,0.110969597016247,0.0255262519589929,2,"ACGNT01","2","4",38.9799423,-106.99755,326972.4253226,4316448.5266888,"triploid","male"
"1","0","1","0",-0.367124412808791,2990.49961964719,"rmbl_dry_scenario_ACGNT01_2_5",5,60,200,36.2,6.9846423010877,28.7640379883686,0.0801990139037013,6.06776706093606,0.575457212976697,5.67606179117216,128,0.2,38.1067207298469,-1.54039552276259,0.00177340681388449,7.86583586809824e-05,0.533252579584507,2,"ACGNT01","2","5",38.9799423,-106.99755,326972.4253226,4316448.5266888,"triploid","male"
"1","0","1","0",-0.367124412808791,2990.49961964719,"rmbl_dry_scenario_ACGNT01_2_6",5,60,200,36.2,6.9846423010877,2.29785765947454,0.0801990139037013,5.70771121539531,0.209929645446362,2.09427030171571,120,0.2,38.1067207298469,-1.54039552276259,0.000573212637814341,1.84777743800455e-05,0.215567222397658,2,"ACGNT01","2","6",38.9799423,-106.99755,326972.4253226,4316448.5266888,"triploid","male"
"1","0","1","0",-0.367124412808791,2990.49961964719,"rmbl_dry_scenario_ACGNT01_2_7",5,60,200,36.2,6.9846423010877,3.00131191798442,0.0801990139037013,5.89151268494861,0.151332008581127,8.6367267449042,75,0.2,38.1067207298469,-1.54039552276259,0.000443026736269946,3.4002715869306e-05,0.427498064115731,2,"ACGNT01","2","7",38.9799423,-106.99755,326972.4253226,4316448.5266888,"triploid","male"
"1","0","1","0",-0.367124412808791,2990.49961964719,"rmbl_dry_scenario_ACGNT01_2_8",5,60,200,36.2,6.9846423010877,4.11601925314081,0.0801990139037013,6.44731353648566,0.0311010356223821,0.314409620131007,99,0.2,38.1067207298469,-1.54039552276259,0.000105938021881294,1.56000750777702e-06,0.63194389825858,2,"ACGNT01","2","8",38.9799423,-106.99755,326972.4253226,4316448.5266888,"triploid","male"
"1","0","1","0",-0.367124412808791,2990.49961964719,"rmbl_dry_scenario_ACGNT01_2_9",5,60,200,36.2,6.9846423010877,3.97878794063152,0.0801990139037013,9.76019692363358,0.277163751994651,6.54367147409753,151,0.2,38.1067207298469,-1.54039552276259,0.00346207674679475,0.00972485905365951,0.198913063571067,2,"ACGNT01","2","9",38.9799423,-106.99755,326972.4253226,4316448.5266888,"triploid","male"
"1","0","1","0",-0.367124412808791,2990.49961964719,"rmbl_dry_scenario_ACGNT01_2_10",5,60,200,36.2,6.9846423010877,5.70363573567103,0.0801990139037013,6.10667590027549,0.203553515895655,2.85888941707259,134,0.2,38.1067207298469,-1.54039552276259,0.000607265309448886,5.7333722038883e-08,0.636236416753123,2,"ACGNT01","2","10",38.9799423,-106.99755,326972.4253226,4316448.5266888,"triploid","male"
"1","0","1","0",-0.367124412808791,2990.49961964719,"rmbl_dry_scenario_ACGNT01_3_1",5,60,200,36.2,6.9846423010877,5.3672027263698,0.0801990139037013,7.76809158709581,0.238954189891481,2.06333157265949,3,0.2,39.995514585011,-1.60775621814922,0.00129673346045049,0.000265767175700011,0.0795724004111602,3,"ACGNT01","3","1",38.9799423,-106.99755,326972.4253226,4316448.5266888,"triploid","male"
