"Ploidy_leveltriploid","Ploidy_levelunknown","geneticSexIDmale","geneticSexIDunknown","Cos.aspect","Elevation","delta_t","n_S","n_R","prefix_this","minsize","maxsize","n_iterations","n_S_lag_factor","n_S_scale_factor","SWE.mean","PPT.mean","size_mean_initial","size_sd_initial","n_A_initial","n_S_initial","n_R_initial","size_mean_final_average","n_A_final_average","n_S_final_average","n_R_final_average","longevity_90_final_average","basal_area_density_final_average","index","site_code","replicate_climate_resample","replicate_data_resample","Latitude","Longitude","X.UTM","Y.UTM","Basal.area.density","DBH.mean","Ploidy_level","geneticSexID"
"1","0","1","0",-0.367124412808791,2990.49961964719,2.5,0.0192123395002465,0.00172787880955946,"rmbl_ACGNT01_1_1",4,60,500,0.2,1,91.6062408190317,84.7207083103114,36.2,6.9846423010877,0.0801990139037013,0,0,22.5235761191018,0.00182404301737671,0.00297925473253076,7.45322345775033e-05,43,4.62908371336699e-05,1,"ACGNT01","1","1",38.9799423,-106.99755,326972.4253226,4316448.5266888,0.0191152662721893,33.2571428571429,"triploid","male"
"1","0","1","0",-0.367124412808791,2990.49961964719,2.5,0,0,"rmbl_ACGNT01_1_2",4,60,500,0.2,1,91.6062408190317,84.7207083103114,36.2,6.9846423010877,0.0801990139037013,0,0,49.1492761652237,2.24134270014664e-31,0,0,42,4.24273529439928e-32,1,"ACGNT01","1","2",38.9799423,-106.99755,326972.4253226,4316448.5266888,0.0191152662721893,33.2571428571429,"triploid","male"
"1","0","1","0",-0.367124412808791,2990.49961964719,2.5,0,0,"rmbl_ACGNT01_1_3",4,60,500,0.2,1,91.6062408190317,84.7207083103114,36.2,6.9846423010877,0.0801990139037013,0,0,48.9760935740794,1.06160569174597e-25,0,0,56,1.99091978013191e-26,1,"ACGNT01","1","3",38.9799423,-106.99755,326972.4253226,4316448.5266888,0.0191152662721893,33.2571428571429,"triploid","male"
"1","0","1","0",-0.367124412808791,2990.49961964719,2.5,0.0104719355719207,0.000486375085371148,"rmbl_ACGNT01_1_4",4,60,500,0.2,1,91.6062408190317,84.7207083103114,36.2,6.9846423010877,0.0801990139037013,0,0,36.8109056296848,0.000258441559836062,0.00143004488162726,2.33323845154974e-05,32,4.12124495511863e-06,1,"ACGNT01","1","4",38.9799423,-106.99755,326972.4253226,4316448.5266888,0.0191152662721893,33.2571428571429,"triploid","male"
"1","0","1","0",-0.367124412808791,2990.49961964719,2.5,0.00888530472143326,0.0013836458509236,"rmbl_ACGNT01_1_5",4,60,500,0.2,1,91.6062408190317,84.7207083103114,36.2,6.9846423010877,0.0801990139037013,0,0,36.3094026907022,0.000631311591495743,0.00124186241867513,6.13702952506515e-05,31,7.62900235686593e-06,1,"ACGNT01","1","5",38.9799423,-106.99755,326972.4253226,4316448.5266888,0.0191152662721893,33.2571428571429,"triploid","male"
"1","0","1","0",-0.367124412808791,2990.49961964719,2.5,3.59372293839937e-39,3.59746554581205e-40,"rmbl_ACGNT01_1_6",4,60,500,0.2,1,91.6062408190317,84.7207083103114,36.2,6.9846423010877,0.0801990139037013,0,0,48.0658854923123,5.46270108191331e-14,2.15437420371255e-21,9.27893596232263e-23,37,9.7965200443924e-15,1,"ACGNT01","1","6",38.9799423,-106.99755,326972.4253226,4316448.5266888,0.0191152662721893,33.2571428571429,"triploid","male"
"1","0","1","0",-0.367124412808791,2990.49961964719,2.5,0,0,"rmbl_ACGNT01_1_7",4,60,500,0.2,1,91.6062408190317,84.7207083103114,36.2,6.9846423010877,0.0801990139037013,0,0,49.2360536718196,4.56525653940101e-34,0,0,60,8.67797203626213e-35,1,"ACGNT01","1","7",38.9799423,-106.99755,326972.4253226,4316448.5266888,0.0191152662721893,33.2571428571429,"triploid","male"
"1","0","1","0",-0.367124412808791,2990.49961964719,2.5,3.7034855456077e-33,1.75167688829221e-34,"rmbl_ACGNT01_1_8",4,60,500,0.2,1,91.6062408190317,84.7207083103114,36.2,6.9846423010877,0.0801990139037013,0,0,48.1471430694975,8.44626719827918e-07,2.22017497176151e-15,4.46727203844027e-17,38,1.45191516246235e-07,1,"ACGNT01","1","8",38.9799423,-106.99755,326972.4253226,4316448.5266888,0.0191152662721893,33.2571428571429,"triploid","male"
"1","0","1","0",-0.367124412808791,2990.49961964719,2.5,1.57808585159058e-15,1.47744277419763e-16,"rmbl_ACGNT01_1_9",4,60,500,0.2,1,91.6062408190317,84.7207083103114,36.2,6.9846423010877,0.0801990139037013,0,0,27.2778763857914,0.0108836114266834,0.00460497852627372,0.000410795905756242,48,0.000236483242882882,1,"ACGNT01","1","9",38.9799423,-106.99755,326972.4253226,4316448.5266888,0.0191152662721893,33.2571428571429,"triploid","male"
"1","0","1","0",-0.367124412808791,2990.49961964719,2.5,0,0,"rmbl_ACGNT01_1_10",4,60,500,0.2,1,91.6062408190317,84.7207083103114,36.2,6.9846423010877,0.0801990139037013,0,0,49.3243057638889,1.40618815848808e-34,0,0,45,2.68256495535045e-35,1,"ACGNT01","1","10",38.9799423,-106.99755,326972.4253226,4316448.5266888,0.0191152662721893,33.2571428571429,"triploid","male"
