"site_code","year","tag","date","field_team","unhealthy","cow","n_small_trees","n_medium_trees","n_small_dead","n_medium_dead","n_dead_down","n_standing_dead","site_notes","n_aspen_trees_surveyed","n_tree_species","plot_radius_m","plot_area_m2","n_adult_dead","n_adult_damaged","n_standing","n_fallen","n_standing_dead_full_survey","n_alive","dbh_center_live","dbh_mean_live","basal_area_density_live","plot_area_m2_derived","n_standing_in_previous_survey","n_still_standing_in_current_year","n","FRACTION_STANDING_AFTER_NUM_YEARS","pfailure","expected_fallen_dead","n_adult_dead_w_background_mortality_estimate","n_adult_dead_or_damaged","n_adult_dead_per_m2","n_adult_damaged_per_m2","n_adult_dead_or_damaged_per_m2","n_standing_dead_per_m2","n_adult_dead_w_background_mortality_estimate_per_m2","frac_adult_dead","frac_adult_damaged","frac_adult_dead_or_damaged","frac_standing_dead","frac_adult_dead_w_background_mortality_estimate","frac_adult_dead_per_m2","frac_adult_damaged_per_m2","frac_adult_dead_or_damaged_per_m2","frac_standing_dead_per_m2","frac_adult_dead_w_background_mortality_estimate_per_m2"
"AEBVG",2020,419,2020-07-31,"Aidan + Courtenay",0,0,14,19,5,3,3,0,"dist & azi shot to 130 on stem. Nail coming out, re-nailed in",11,1,5.2,84.948665353068,0,1,11,0,0,11,25.2,13.1307692307692,0.0109229659763314,84.948665353068,11,11,2,1,0,0.290747794353651,0,1,0,0.0117718153174479,0.0117718153174479,0,0,0,0.0909090909090909,0.0909090909090909,0,0,0,0.0010701650288589,0.0010701650288589,0,0
"AEBVG",2023,419,2023-07-19,"EC, BW",0,0,17,20,0,4,4,0,NA,1,1,NA,NA,0,NA,1,0,0,1,25.2,NA,NA,91.6088417786784,11,11,3,NA,NA,0.433227018227027,0.433227018227027,NA,0,NA,NA,0,0.00472909612015048,0,NA,NA,0,0.0393842743842752,0,NA,NA,0,0.000429917829104589
"AFOG",2018,113,2018-06-28,NA,NA,NA,7,1,NA,NA,NA,2,NA,10,1,6.7,141.026094219646,2,1,10,0,2,8,33.5,27.15,0.0141049231454667,141.026094219646,NA,NA,NA,NA,NA,NA,2,3,0.0141817726078766,0.00709088630393831,0.0212726589118149,0.0141817726078766,0.0141817726078766,0.2,0.1,0.3,2,0.2,0.00141817726078766,0.000709088630393831,0.00212726589118149,0.0141817726078766,0.00141817726078766
"AFOG",2023,113,2023-07-14,"MB HL",1,0,0,4,2,1,2,3,"orange stained; one tree with flaky bark",1,1,NA,NA,3,NA,1,0,0,1,34.6,NA,NA,141.026094219646,10,10,5,NA,NA,0.647749019701119,3.64774901970112,NA,0.0212726589118149,NA,NA,0.0212726589118149,0.0258657735640031,0.272727272727273,NA,NA,0.272727272727273,0.331613547245556,0.00193387808289227,NA,NA,0.00193387808289227,0.00235143396036391
"AGXLZ",2018,327,2018-07-16,NA,NA,NA,4,1,NA,NA,NA,1,"GROUND NESTING BEES AT ~270 DEGREES, 2M FROM CENTER TREE",11,1,3.6,40.7150407905237,1,0,11,0,1,10,19,18.3,0.0273729938271605,40.7150407905237,NA,NA,NA,NA,NA,NA,1,1,0.0245609480080085,0,0.0245609480080085,0.0245609480080085,0.0245609480080085,0.0909090909090909,0,0.0909090909090909,1,0.0909090909090909,0.0022328134552735,0,0.0022328134552735,0.0245609480080085,0.0022328134552735
"AGXLZ",2020,327,2020-07-17,"Gavin, Courtenay, Aiden",0,0,3,1,2,0,10,1,"YELLOW JACKET NEST AT 270 DEGREES, ~2M FROM FOCAL (CONFIRMED 2020)",11,1,3.4,36.316811075498,1,1,11,0,1,10,19.5,18.64,0.03184723183391,36.316811075498,11,11,2,1,0,0.290747794353651,1,2,0.0275354572823348,0.0275354572823348,0.0550709145646697,0.0275354572823348,0.0275354572823348,0.0909090909090909,0.0909090909090909,0.181818181818182,1,0.0909090909090909,0.00250322338930317,0.00250322338930317,0.00500644677860633,0.0275354572823348,0.00250322338930317
"AGXLZ",2023,327,2023-07-17,"EC, HL",0,0,18,1,1,2,7,1,NA,1,1,NA,NA,1,NA,1,0,0,1,20,NA,NA,40.7150407905237,11,11,3,NA,NA,0.433227018227027,1.43322701822703,NA,0.0245609480080085,NA,NA,0.0245609480080085,0.0352014142783471,0.0909090909090909,NA,NA,0.0909090909090909,0.130293365293366,0.0022328134552735,NA,NA,0.0022328134552735,0.00320012857075883
"AHQT",2018,229,2018-07-06,NA,0,0,0,0,NA,NA,NA,2,NA,10,1,4.9,75.4296396126909,3,0,10,0,2,8,39.9,30.0714285714286,0.0274587671803415,75.4296396126909,NA,NA,NA,NA,NA,NA,3,3,0.039772164037958,0,0.039772164037958,0.0265147760253053,0.039772164037958,0.3,0,0.3,2,0.3,0.0039772164037958,0,0.0039772164037958,0.0265147760253053,0.0039772164037958
"AHQT",2023,229,2023-07-10,"HL, VM",0,0,0,0,0,0,1,0,NA,1,1,NA,NA,0,NA,1,0,0,1,40,NA,NA,75.4296396126909,10,10,5,NA,NA,0.647749019701119,0.647749019701119,NA,0,NA,NA,0,0.00858746008899314,0,NA,NA,0,0.0588862745182836,0,NA,NA,0,0.000780678189908467
"AHUK",2018,131,2018-06-29,NA,NA,NA,0,0,NA,NA,NA,4,NA,11,1,6,113.097335529233,4,0,11,0,4,7,18.5,24.8428571428571,0.0128484722222222,113.097335529233,NA,NA,NA,NA,NA,NA,4,4,0.0353677651315323,0,0.0353677651315323,0.0353677651315323,0.0353677651315323,0.363636363636364,0,0.363636363636364,4,0.363636363636364,0.00321525137559385,0,0.00321525137559385,0.0353677651315323,0.00321525137559385
"AHYY",2018,234,2018-07-08,NA,0,0,0,0,NA,NA,NA,2,NA,11,1,5.7,102.070345315132,2,0,11,0,2,9,29.3335,24.3761111111111,0.0169760263373346,102.070345315132,NA,NA,NA,NA,NA,NA,2,2,0.0195943297127603,0,0.0195943297127603,0.0195943297127603,0.0195943297127603,0.181818181818182,0,0.181818181818182,2,0.181818181818182,0.00178130270116003,0,0.00178130270116003,0.0195943297127603,0.00178130270116003
"AHYY",2023,234,2023-07-10,"HL, VM",0,0,0,0,0,0,3,1,NA,1,1,NA,NA,1,NA,1,0,0,1,29.6,NA,NA,102.070345315132,11,11,5,NA,NA,0.712523921671231,1.71252392167123,NA,0.00979716485638014,NA,NA,0.00979716485638014,0.0167778791811077,0.0909090909090909,NA,NA,0.0909090909090909,0.155683992879203,0.000890651350580013,NA,NA,0.000890651350580013,0.00152526174373706
"AMYCG",2018,281,2018-07-12,NA,NA,NA,1,4,NA,NA,NA,2,NA,11,1,5,78.5398163397448,2,0,11,0,2,9,35.9,22.1555555555556,0.02390168,78.5398163397448,NA,NA,NA,NA,NA,NA,2,2,0.0254647908947033,0,0.0254647908947033,0.0254647908947033,0.0254647908947033,0.181818181818182,0,0.181818181818182,2,0.181818181818182,0.00231498099042757,0,0.00231498099042757,0.0254647908947033,0.00231498099042757
"AMYCG",2020,281,2020-07-02,"Nicole, Gavin, Courtenay",0,0,1,4,NA,NA,13,2,NA,11,1,4.9,75.4296396126909,2,1,11,0,2,9,36.1,20.71,0.0252890045814244,75.4296396126909,11,11,2,1,0,0.290747794353651,2,3,0.0265147760253053,0.0132573880126527,0.039772164037958,0.0265147760253053,0.0265147760253053,0.181818181818182,0.0909090909090909,0.272727272727273,2,0.181818181818182,0.00241043418411867,0.00120521709205933,0.003615651276178,0.0265147760253053,0.00241043418411867
"AMYCG",2023,281,2023-07-26,"EC CP",0,0,1,1,0,0,8,1,"generally healthy",1,1,NA,NA,1,NA,1,0,0,1,36.6,NA,NA,78.5398163397448,11,11,3,NA,NA,0.433227018227027,1.43322701822703,NA,0.0127323954473516,NA,NA,0.0127323954473516,0.0182484131618951,0.0909090909090909,NA,NA,0.0909090909090909,0.130293365293366,0.00115749049521378,NA,NA,0.00115749049521378,0.00165894665108138
"AMYT",2018,228,2018-07-06,NA,NA,NA,1,0,NA,NA,NA,0,NA,11,1,5,78.5398163397448,0,0,11,0,0,11,25.5,25.0272727272727,0.028453,78.5398163397448,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMYT",2023,228,2023-07-10,"HL, VM",0,0,7,0,0,0,2,0,NA,1,1,NA,NA,0,NA,1,0,0,1,26.4,NA,NA,78.5398163397448,11,11,5,NA,NA,0.712523921671231,0.712523921671231,NA,0,NA,NA,0,0.00907213633641591,0,NA,NA,0,0.0647749019701119,0,NA,NA,0,0.000824739666946901
"APCV",2018,68,2018-06-26,NA,NA,NA,2,3,NA,NA,NA,3,NA,11,1,4.2,55.4176944093239,3,0,11,0,3,8,24.3,23.825,0.0260321995464853,55.4176944093239,NA,NA,NA,NA,NA,NA,3,3,0.0541343343849984,0,0.0541343343849984,0.0541343343849984,0.0541343343849984,0.272727272727273,0,0.272727272727273,3,0.272727272727273,0.00492130312590895,0,0.00492130312590895,0.0541343343849984,0.00492130312590895
"APZE",2018,187,2018-07-03,NA,NA,NA,6,5,NA,NA,NA,0,NA,11,1,5.9,109.358840271461,0,1,11,0,0,11,31.2,25.0727272727273,0.0218515369146797,109.358840271461,NA,NA,NA,NA,NA,NA,0,1,0,0.00914420816385495,0.00914420816385495,0,0,0,0.0909090909090909,0.0909090909090909,0,0,0,0.00083129165125954,0.00083129165125954,0,0
"APZE",2023,187,2023-07-18,"HL, VM",0,0,6,9,0,0,3,1,NA,1,1,NA,NA,1,NA,1,0,0,1,32.3,NA,NA,109.358840271461,11,11,5,NA,NA,0.712523921671231,1.71252392167123,NA,0.00914420816385495,NA,NA,0.00914420816385495,0.015659675225343,0.0909090909090909,NA,NA,0.0909090909090909,0.155683992879203,0.00083129165125954,NA,NA,0.00083129165125954,0.00142360683866754
"AQPIX",2018,387,2018-07-21,NA,0,0,0,0,NA,NA,NA,0,NA,11,1,5.2,84.948665353068,0,2,11,0,0,11,26.8,24.1818181818182,0.0269887573964497,84.948665353068,NA,NA,NA,NA,NA,NA,0,2,0,0.0235436306348958,0.0235436306348958,0,0,0,0.181818181818182,0.181818181818182,0,0,0,0.0021403300577178,0.0021403300577178,0,0
"AQPIX",2020,387,2020-07-30,"Gavin + Courtenay",0,0,1,0,0,0,2,0,NA,11,1,4.9,75.4296396126909,0,4,11,0,0,11,27.5,24.8083333333333,0.0343074968763015,75.4296396126909,11,11,2,1,0,0.290747794353651,0,4,0,0.0530295520506107,0.0530295520506107,0,0,0,0.363636363636364,0.363636363636364,0,0,0,0.00482086836823733,0.00482086836823733,0,0
"AQPIX",2023,387,2023-07-11,"EC MB",1,0,3,0,1,0,0,0,"lots of oozing cankers and wounds",11,1,4.9,75.4296396126909,0,6,11,0,0,11,28.2,25.7166666666667,0.0370754685547688,75.4296396126909,11,11,3,1,0,0.433227018227027,0,6,0,0.079544328075916,0.079544328075916,0,0,0,0.545454545454545,0.545454545454545,0,0,0,0.007231302552356,0.007231302552356,0,0
"AQXKL",2018,473,2018-07-26,NA,0,0,1,1,NA,NA,NA,1,NA,11,1,3.4,36.316811075498,1,0,11,0,1,10,17,11.44,0.0117480968858131,36.316811075498,NA,NA,NA,NA,NA,NA,1,1,0.0275354572823348,0,0.0275354572823348,0.0275354572823348,0.0275354572823348,0.0909090909090909,0,0.0909090909090909,1,0.0909090909090909,0.00250322338930317,0,0.00250322338930317,0.0275354572823348,0.00250322338930317
"AQXKL",2020,473,2020-07-22,"Gavin + Ben",0,1,0,1,0,2,1,0,NA,11,1,3.5,38.484510006475,1,2,11,0,0,11,17.5,11.6181818181818,0.0126125714285714,38.484510006475,11,11,2,1,0,0.290747794353651,1,3,0.0259844805047992,0.0519689610095985,0.0779534415143977,0,0.0259844805047992,0.0909090909090909,0.181818181818182,0.272727272727273,0,0.0909090909090909,0.00236222550043629,0.00472445100087259,0.00708667650130888,0,0.00236222550043629
"AQXKL",2023,473,2023-07-24,"HL, BW",0,0,0,0,0,2,1,1,"checked dendro, looks good",1,1,NA,NA,1,NA,1,0,0,1,18.6,NA,NA,36.316811075498,11,11,3,NA,NA,0.433227018227027,1.43322701822703,NA,0.0275354572823348,NA,NA,0.0275354572823348,0.0394645613362784,0.0909090909090909,NA,NA,0.0909090909090909,0.130293365293366,0.00250322338930317,NA,NA,0.00250322338930317,0.00358768739420713
"AQZOX",2018,354,2018-07-19,NA,NA,NA,17,2,NA,NA,NA,0,NA,8,1,6.8,145.267244301992,0,0,8,0,0,8,33.7,23.525,0.0106220155709343,145.267244301992,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AQZOX",2020,354,2020-08-03,"Gavin and Aidan",0,0,9,2,5,0,8,1,"leaf hoppers",8,1,7.1,158.367685667461,1,0,8,0,1,7,33.6,24.2857142857143,0.00912787145407657,158.367685667461,8,8,2,1,0,0.21145294134811,1,1,0.00631441948390777,0,0.00631441948390777,0.00631441948390777,0.00631441948390777,0.125,0,0.125,1,0.125,0.000789302435488471,0,0.000789302435488471,0.00631441948390777,0.000789302435488471
"AQZOX",2023,354,2023-07-28,"HL, VM",0,0,3,10,0,0,8,1,NA,1,1,NA,NA,1,NA,1,0,0,1,34.9,NA,NA,145.267244301992,8,8,3,NA,NA,0.315074195074201,1.3150741950742,NA,0.00688386432058371,NA,NA,0.00688386432058371,0.00905279233039164,0.0909090909090909,NA,NA,0.0909090909090909,0.1195521995522,0.000625805847325792,NA,NA,0.000625805847325792,0.000822981120944694
"ASIBO",2018,454,2018-07-24,NA,0,0,5,0,NA,NA,NA,5,NA,11,1,3.7,43.0084034276443,5,0,11,0,5,6,19.6,21.9166666666667,0.0212776479181885,43.0084034276443,NA,NA,NA,NA,NA,NA,5,5,0.116256349957557,0,0.116256349957557,0.116256349957557,0.116256349957557,0.454545454545455,0,0.454545454545455,5,0.454545454545455,0.0105687590870506,0,0.0105687590870506,0.116256349957557,0.0105687590870506
"ASIBO",2020,454,2020-08-13,"Gavin and Erin",0,0,5,1,0,0,7,4,"Re-nailed tag",11,1,3.8,45.3645979178366,5,1,11,0,4,7,20.2,22.2166666666667,0.020765027700831,45.3645979178366,11,11,2,1,0,0.290747794353651,5,6,0.110218104634277,0.0220436209268553,0.132261725561132,0.0881744837074212,0.110218104634277,0.454545454545455,0.0909090909090909,0.545454545454545,4,0.454545454545455,0.0100198276940251,0.00200396553880503,0.0120237932328302,0.0881744837074212,0.0100198276940251
"ASMP",2018,12,2018-06-22,NA,NA,NA,1,0,NA,NA,NA,2,NA,11,1,9.01,255.034805777685,2,0,11,0,2,9,8.5,19.1,0.00455521735006486,255.034805777685,NA,NA,NA,NA,NA,NA,2,2,0.0078420668657415,0,0.0078420668657415,0.0078420668657415,0.0078420668657415,0.181818181818182,0,0.181818181818182,2,0.181818181818182,0.000712915169612864,0,0.000712915169612864,0.0078420668657415,0.000712915169612864
"ASMP",2023,530,2023-06-28,"EC CP",0,1,0,0,0,0,0,2,"At stand edge",1,1,NA,NA,2,NA,1,0,0,1,8.7,NA,NA,255.034805777685,11,11,5,NA,NA,0.712523921671231,2.71252392167123,NA,0.0078420668657415,NA,NA,0.0078420668657415,0.0106358969843346,0.181818181818182,NA,NA,0.181818181818182,0.246593083788294,0.000712915169612864,NA,NA,0.000712915169612864,0.000966899725848598
"ATDH",2018,251,2018-07-08,NA,0,0,0,0,NA,NA,NA,0,NA,11,1,5.9,109.358840271461,1,1,11,0,0,11,23.4,24.26,0.0172546969261706,109.358840271461,NA,NA,NA,NA,NA,NA,1,2,0.00914420816385495,0.00914420816385495,0.0182884163277099,0,0.00914420816385495,0.0909090909090909,0.0909090909090909,0.181818181818182,0,0.0909090909090909,0.00083129165125954,0.00083129165125954,0.00166258330251908,0,0.00083129165125954
